Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Major,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2000-2001,131496,Georgetown University,English Language and Literature/Letters,'23',Bachelor's degree,First major,168,68,100,130,51,79,9,3,6,9,6,3,10,4,6,0,0,0,3,0,3,7,4,3
2000-2001,131496,Georgetown University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,First major,27,7,20,12,2,10,6,1,5,1,0,1,0,0,0,0,0,0,7,4,3,1,0,1
2000-2001,131496,Georgetown University,Multi/Interdisciplinary Studies,'30',Bachelor's degree,First major,55,20,35,36,16,20,2,0,2,2,0,2,5,1,4,0,0,0,3,2,1,7,1,6
2000-2001,131496,Georgetown University,Psychology,'42',Bachelor's degree,First major,92,20,72,66,15,51,9,1,8,5,2,3,11,2,9,0,0,0,0,0,0,1,0,1
2000-2001,131496,Georgetown University,Visual and Performing Arts,'50',Bachelor's degree,First major,15,1,14,11,1,10,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,2,0,2
2000-2001,131496,Georgetown University,Health Professions and Related Sciences,'51',Bachelor's degree,First major,64,1,63,50,1,49,3,0,3,2,0,2,5,0,5,1,0,1,0,0,0,3,0,3
2000-2001,131496,Georgetown University,Physical Sciences,'40',Bachelor's degree,First major,21,13,8,16,10,6,0,0,0,0,0,0,2,1,1,0,0,0,3,2,1,0,0,0
2000-2001,131496,Georgetown University,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,First major,14,7,7,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,131496,Georgetown University,Philosophy and Religion,'38',Bachelor's degree,First major,29,16,13,23,15,8,1,0,1,2,1,1,2,0,2,0,0,0,1,0,1,0,0,0
2000-2001,155399,Kansas State University,Agricultural Business and Production,'01',Bachelor's degree,First major,140,105,35,135,101,34,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,2,2,0
2000-2001,155399,Kansas State University,Business Management and Administrative Services,'52',Bachelor's degree,First major,633,340,293,573,309,264,13,8,5,9,3,6,17,9,8,3,1,2,7,5,2,11,5,6
2000-2001,155399,Kansas State University,Computer and Information Sciences,'11',Bachelor's degree,First major,51,48,3,43,42,1,0,0,0,1,1,0,2,1,1,0,0,0,1,1,0,4,3,1
2000-2001,155399,Kansas State University,Engineering-Related Technologies,'15',Bachelor's degree,First major,81,73,8,71,64,7,4,4,0,1,1,0,1,0,1,3,3,0,1,1,0,0,0,0
2000-2001,155399,Kansas State University,English Language and Literature/Letters,'23',Bachelor's degree,First major,29,4,25,26,4,22,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
2000-2001,155399,Kansas State University,Mathematics,'27',Bachelor's degree,First major,14,10,4,14,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,155399,Kansas State University,Transporation and Material Moving Workers,'49',Bachelor's degree,First major,25,22,3,25,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-2001,155399,Kansas State University,Education,'13',Bachelor's degree,First major,338,76,262,329,75,254,2,0,2,3,0,3,1,0,1,1,0,1,2,1,1,0,0,0
2000-2001,155399,Kansas State University,Engineering,'14',Bachelor's degree,First major,279,224,55,255,206,49,4,3,1,2,2,0,3,2,1,3,1,2,4,3,1,8,7,1
2000-2001,155399,Kansas State University,Health Professions and Related Sciences,'51',Bachelor's degree,First major,94,24,70,92,24,68,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
