"","Sport","Facet_Type","Facet_Value","Fangraph_URL","Date","Variable","Value","NA."
"108","Football","Entity","University of South Flori...","http://www.sportsfangraph.com/team/university-of-south-florida-football",2012-12-06,"Rank",108,NA
"109","Football","Entity","University of Southern Mi...","http://www.sportsfangraph.com/team/university-of-southern-mississippi-football",2012-12-06,"Rank",109,NA
"110","Football","Entity","University of Houston Foo...","http://www.sportsfangraph.com/team/university-of-houston-football",2012-12-06,"Rank",110,NA
"111","Football","Entity","Pittsburgh Power","http://www.sportsfangraph.com/team/pittsburgh-power",2012-12-06,"Rank",111,NA
"112","Football","Entity","University of Louisiana -...","http://www.sportsfangraph.com/team/university-of-louisiana---lafayette-football",2012-12-06,"Rank",112,NA
"113","Football","Entity","Cleveland Gladiators","http://www.sportsfangraph.com/team/cleveland-gladiators",2012-12-06,"Rank",113,NA
"114","Football","Entity","Tampa Bay Storm","http://www.sportsfangraph.com/team/tampa-bay-storm",2012-12-06,"Rank",114,NA
"115","Football","Entity","Orlando Predators","http://www.sportsfangraph.com/team/orlando-predators",2012-12-06,"Rank",115,NA
"116","Football","Entity","Iowa Barnstormers","http://www.sportsfangraph.com/team/iowa-barnstormers",2012-12-06,"Rank",116,NA
"117","Football","Entity","Arizona Rattlers","http://www.sportsfangraph.com/team/arizona-rattlers",2012-12-06,"Rank",117,NA
"118","Football","Entity","University of California ...","http://www.sportsfangraph.com/team/university-of-california---los-angeles-football",2012-12-06,"Rank",118,NA
"119","Football","Entity","Boise State University Fo...","http://www.sportsfangraph.com/team/boise-state-university-football",2012-12-06,"Rank",119,NA
"120","Football","Entity","Kansas State University F...","http://www.sportsfangraph.com/team/kansas-state-university-football",2012-12-06,"Rank",120,NA
"121","Football","Entity","Southern Methodist Univer...","http://www.sportsfangraph.com/team/southern-methodist-university-football",2012-12-06,"Rank",121,NA
"122","Football","Entity","Vanderbilt University Foo...","http://www.sportsfangraph.com/team/vanderbilt-university-football",2012-12-06,"Rank",122,NA
"123","Football","Entity","University of Toledo Foot...","http://www.sportsfangraph.com/team/university-of-toledo-football",2012-12-06,"Rank",123,NA
