Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Allied Health,17',24,3,21
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Renewable Natural Resources,3',96,45,51
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Physical Sciences,40',112,80,32
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Protective Services,43',14,9,5
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Public Affairs,44',22,3,19
1983-1984,186380,Rutgers University-New Brunswick,Bachelor's degrees,Communications,9',325,85,240
1983-1984,122755,San Jose State University,Bachelor's degrees,Health Sciences,18',216,16,200
1983-1984,122755,San Jose State University,Bachelor's degrees,Letters,23',74,21,53
1983-1984,122755,San Jose State University,Bachelor's degrees,Mathematics,27',127,77,50
1983-1984,122755,San Jose State University,Bachelor's degrees,Psychology,42',142,51,91
1983-1984,122755,San Jose State University,Bachelor's degrees,Social Sciences,45',271,130,141
1983-1984,122755,San Jose State University,Bachelor's degrees,Education,13',49,25,24
1983-1984,122755,San Jose State University,Bachelor's degrees,Engineering,14',337,287,50
1983-1984,122755,San Jose State University,Bachelor's degrees,Allied Health,17',87,4,83
1983-1984,122755,San Jose State University,Bachelor's degrees,Liberal/General Studies,24',124,17,107
1983-1984,122755,San Jose State University,Bachelor's degrees,Life Sciences,26',110,51,59
1983-1984,122755,San Jose State University,Bachelor's degrees,Parks and Recreation,31',40,9,31
1983-1984,122755,San Jose State University,Bachelor's degrees,Protective Services,43',97,65,32
1983-1984,122755,San Jose State University,Bachelor's degrees,Business and Management,6',929,466,463
1983-1984,122755,San Jose State University,Bachelor's degrees,Engineering and Engineering Related Technologies,15',234,212,22
1983-1984,122755,San Jose State University,Bachelor's degrees,Foreign Languages,16',26,6,20
1983-1984,122755,San Jose State University,Bachelor's degrees,Philosophy and Religion,38',14,8,6
1983-1984,122755,San Jose State University,Bachelor's degrees,Home Economics,19',32,2,30
1983-1984,122755,San Jose State University,Bachelor's degrees,Multi/Interdisciplinary Studies,30',41,22,19
1983-1984,122755,San Jose State University,Bachelor's degrees,Architecture and Environmental Design,4',35,3,32
1983-1984,122755,San Jose State University,Bachelor's degrees,Physical Sciences,40',86,57,29
