Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1996-1997,131496,Georgetown University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,24,6,18,15,3,12,2,0,2,2,1,1,0,0,0,0,0,0,4,2,2,1,0,1
1996-1997,131496,Georgetown University,Mathematics,'27',Bachelor's degree,10,3,7,4,1,3,1,1,0,2,1,1,0,0,0,0,0,0,1,0,1,2,0,2
1996-1997,131496,Georgetown University,Philosophy and Religion,'38',Bachelor's degree,27,16,11,13,9,4,2,1,1,3,1,2,5,2,3,0,0,0,1,1,0,3,2,1
1996-1997,131496,Georgetown University,Physical Sciences,'40',Bachelor's degree,16,8,8,12,6,6,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2,1,1
1996-1997,131496,Georgetown University,Psychology,'42',Bachelor's degree,90,36,54,61,22,39,10,2,8,9,6,3,2,1,1,0,0,0,1,1,0,7,4,3
1996-1997,131496,Georgetown University,Social Sciences and History,'45',Bachelor's degree,646,356,290,422,253,169,36,17,19,36,17,19,52,21,31,0,0,0,24,12,12,76,36,40
1996-1997,131496,Georgetown University,Visual and Performing Arts,'50',Bachelor's degree,16,3,13,13,3,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2
1996-1997,155399,Kansas State University,Agricultural Business and Production,'01',Bachelor's degree,116,97,19,113,96,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1
1996-1997,155399,Kansas State University,Agricultural Sciences,'02',Bachelor's degree,238,153,85,231,149,82,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,4,0
1996-1997,155399,Kansas State University,Architecture and Related Programs,'04',Bachelor's degree,112,75,37,96,65,31,3,1,2,5,2,3,2,2,0,0,0,0,0,0,0,6,5,1
1996-1997,155399,Kansas State University,Biological Science/Life Sciences,'26',Bachelor's degree,201,90,111,186,86,100,3,0,3,1,1,0,7,3,4,2,0,2,0,0,0,2,0,2
1996-1997,155399,Kansas State University,Business Management and Administrative Services,'52',Bachelor's degree,496,259,237,451,246,205,12,3,9,10,2,8,7,2,5,2,2,0,0,0,0,14,4,10
1996-1997,155399,Kansas State University,Communications,'09',Bachelor's degree,150,62,88,140,58,82,3,0,3,3,1,2,1,1,0,3,2,1,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Computer and Information Sciences,'11',Bachelor's degree,31,30,1,27,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
1996-1997,155399,Kansas State University,Education,'13',Bachelor's degree,386,109,277,371,106,265,7,1,6,3,1,2,2,1,1,3,0,3,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Engineering,'14',Bachelor's degree,266,222,44,238,199,39,2,1,1,5,5,0,13,12,1,0,0,0,0,0,0,8,5,3
1996-1997,155399,Kansas State University,Engineering-Related Technologies,'15',Bachelor's degree,60,54,6,60,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,English Language and Literature/Letters,'23',Bachelor's degree,31,8,23,28,8,20,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
1996-1997,155399,Kansas State University,Foreign Languages and Literatures,'16',Bachelor's degree,24,9,15,18,8,10,1,1,0,4,0,4,0,0,0,1,0,1,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Health Professions and Related Sciences,'51',Bachelor's degree,93,26,67,93,26,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Home Economics- General,'19',Bachelor's degree,137,9,128,130,8,122,4,1,3,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1
1996-1997,155399,Kansas State University,Liberal Arts and Studies- General Sciences and Humanities,'24',Bachelor's degree,2,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Mathematics,'27',Bachelor's degree,17,10,7,16,9,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Parks- Recreation- Leisure and Fitness Studies,'31',Bachelor's degree,75,44,31,71,42,29,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,1,0,1
1996-1997,155399,Kansas State University,Philosophy and Religion,'38',Bachelor's degree,6,6,0,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Physical Sciences,'40',Bachelor's degree,43,37,6,38,32,6,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0
1996-1997,155399,Kansas State University,Psychology,'42',Bachelor's degree,99,32,67,88,27,61,5,3,2,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Public Administration and Services,'44',Bachelor's degree,55,2,53,49,2,47,2,0,2,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Social Sciences and History,'45',Bachelor's degree,332,216,116,289,191,98,26,15,11,7,4,3,7,6,1,3,0,3,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Transporation and Material Moving Workers,'49',Bachelor's degree,6,6,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1996-1997,155399,Kansas State University,Visual and Performing Arts,'50',Bachelor's degree,102,37,65,94,35,59,2,0,2,2,1,1,1,0,1,1,0,1,0,0,0,2,1,1
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Agricultural Business and Production,'01',Bachelor's degree,28,23,5,15,13,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,10,2
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Agricultural Sciences,'02',Bachelor's degree,73,40,33,54,25,29,4,1,3,2,2,0,0,0,0,0,0,0,0,0,0,13,12,1
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Architecture and Related Programs,'04',Bachelor's degree,93,58,35,67,42,25,3,2,1,5,4,1,5,4,1,0,0,0,0,0,0,13,6,7
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Area- Ethnic and Cultural Studies,'05',Bachelor's degree,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Biological Science/Life Sciences,'26',Bachelor's degree,228,130,98,180,111,69,20,6,14,7,4,3,16,7,9,1,0,1,4,2,2,0,0,0
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Business Management and Administrative Services,'52',Bachelor's degree,475,276,199,382,226,156,26,15,11,12,4,8,18,11,7,1,0,1,1,0,1,35,20,15
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Communications,'09',Bachelor's degree,121,33,88,99,29,70,7,2,5,3,0,3,3,0,3,1,1,0,0,0,0,8,1,7
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Computer and Information Sciences,'11',Bachelor's degree,43,32,11,24,19,5,2,1,1,0,0,0,6,3,3,0,0,0,0,0,0,11,9,2
1996-1997,159391,Louisiana State University and Agricultural & Mechanical College,Conservation and Renewable Natural Resources,'03',Bachelor's degree,91,65,26,78,57,21,3,1,2,2,1,1,0,0,0,0,0,0,3,1,2,5,5,0
