Year,unitid,Institution_Name,Award_Level,cipcode,CIP_Classificaiton,Total,T.M,T.F
1987-1988,100858,Auburn University,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,52,43,9
1987-1988,139959,University of Georgia,Bachelor's degree,'03.0000',Conservation and Renewable Natural Resources,26,23,3
1987-1988,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,'13.0000',Education,328,41,287
1987-1988,230728,Utah State University,Bachelor's degree,'13.0000',Education,317,88,229
1987-1988,228723,Texas A & M University-College Station,Bachelor's degree,'13.0000',Education,529,110,419
1987-1988,207500,University of Oklahoma Norman Campus,Bachelor's degree,'13.0000',Education,186,32,154
1987-1988,100858,Auburn University,Bachelor's degree,'13.0000',Education,443,110,333
1987-1988,186380,Rutgers University-New Brunswick,Bachelor's degree,'13.0000',Education,99,30,69
1987-1988,134130,University of Florida,Bachelor's degree,'13.0000',Education,360,68,292
1987-1988,100751,The University of Alabama,Bachelor's degree,'13.0000',Education,204,36,168
1987-1988,139959,University of Georgia,Bachelor's degree,'13.0000',Education,517,142,375
1987-1988,204796,Ohio State University-Main Campus,Bachelor's degree,'13.0000',Education,821,213,608
1987-1988,142115,Boise State University,Bachelor's degree,'13.0000',Education,157,41,116
1987-1988,228778,The University of Texas at Austin,Bachelor's degree,'13.0000',Education,370,56,314
1987-1988,207388,Oklahoma State University-Main Campus,Bachelor's degree,'13.0000',Education,313,107,206
1987-1988,123961,University of Southern California,Bachelor's degree,'13.0000',Education,45,6,39
1987-1988,122755,San Jose State University,Bachelor's degree,'13.0000',Education,44,18,26
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'13.0000',Education,127,37,90
1987-1988,157289,University of Louisville,Bachelor's degree,'13.0000',Education,208,46,162
1987-1988,209551,University of Oregon,Bachelor's degree,'13.0000',Education,201,46,155
1987-1988,135726,University of Miami,Bachelor's degree,'13.0000',Education,66,10,56
1987-1988,147767,Northwestern University,Bachelor's degree,'13.0000',Education,21,11,10
1987-1988,218663,University of South Carolina-Columbia,Bachelor's degree,'13.0000',Education,47,25,22
1987-1988,155399,Kansas State University,Bachelor's degree,'13.0000',Education,257,53,204
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'13.0000',Education,415,110,305
1987-1988,199120,University of North Carolina at Chapel Hill,Bachelor's degree,'13.0000',Education,161,23,138
1987-1988,228246,Southern Methodist University,Bachelor's degree,'13.0000',Education,20,10,10
1987-1988,209542,Oregon State University,Bachelor's degree,'13.0000',Education,361,136,225
1987-1988,221999,Vanderbilt University,Bachelor's degree,'13.0000',Education,53,12,41
1987-1988,217882,Clemson University,Bachelor's degree,'13.0000',Education,176,29,147
1987-1988,170976,University of Michigan-Ann Arbor,Bachelor's degree,'14.0000',Engineering,834,683,151
1987-1988,181464,University of Nebraska-Lincoln,Bachelor's degree,'14.0000',Engineering,250,226,24
1987-1988,139959,University of Georgia,Bachelor's degree,'14.0000',Engineering,28,27,1
1987-1988,122755,San Jose State University,Bachelor's degree,'14.0000',Engineering,353,277,76
1987-1988,134130,University of Florida,Bachelor's degree,'14.0000',Engineering,595,510,85
1987-1988,209542,Oregon State University,Bachelor's degree,'14.0000',Engineering,349,309,40
1987-1988,100858,Auburn University,Bachelor's degree,'14.0000',Engineering,770,648,122
