Year,unitid,Institution_Name,Major,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.M,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2008-2009,131496,Georgetown University,First major,Foreign languages- literatures- and linguistics.,'16',Bachelor's degree,111,38,73,0,0,0,6,3,3,4,3,1,7,3,4,80,27,53,,,,,,,,,,7,2,5,7,0,7
2008-2009,131496,Georgetown University,First major,Health professions and related clinical sciences.,'51',Bachelor's degree,136,21,115,1,1,0,11,2,9,10,1,9,7,3,4,96,12,84,,,,,,,,,,8,2,6,3,0,3
2008-2009,131496,Georgetown University,First major,Psychology.,'42',Bachelor's degree,75,19,56,0,0,0,1,0,1,10,1,9,6,2,4,50,14,36,,,,,,,,,,3,0,3,5,2,3
2008-2009,131496,Georgetown University,First major,Biological and biomedical sciences.,'26',Bachelor's degree,77,42,35,0,0,0,10,5,5,1,0,1,6,2,4,50,30,20,,,,,,,,,,2,2,0,8,3,5
2008-2009,131496,Georgetown University,First major,Computer and information sciences and support services.,'11',Bachelor's degree,9,9,0,0,0,0,0,0,0,1,1,0,1,1,0,5,5,0,,,,,,,,,,1,1,0,1,1,0
2008-2009,131496,Georgetown University,First major,Mathematics and statistics.,'27',Bachelor's degree,20,10,10,0,0,0,1,1,0,2,0,2,0,0,0,15,8,7,,,,,,,,,,0,0,0,2,1,1
2008-2009,131496,Georgetown University,First major,Philosophy and religious studies.,'38',Bachelor's degree,43,27,16,0,0,0,3,3,0,5,2,3,4,2,2,30,19,11,,,,,,,,,,1,1,0,0,0,0
2008-2009,131496,Georgetown University,First major,Business- management- marketing- and related support services.,'52',Bachelor's degree,346,207,139,1,1,0,26,12,14,17,7,10,29,15,14,231,146,85,,,,,,,,,,11,9,2,31,17,14
2008-2009,131496,Georgetown University,First major,History,'54',Bachelor's degree,61,36,25,0,0,0,4,2,2,4,1,3,3,2,1,45,27,18,,,,,,,,,,3,3,0,2,1,1
2008-2009,131496,Georgetown University,First major,Liberal arts and sciences- general studies and humanities.,'24',Bachelor's degree,14,6,8,0,0,0,1,0,1,1,0,1,1,1,0,7,4,3,,,,,,,,,,2,1,1,2,0,2
2008-2009,131496,Georgetown University,First major,Social sciences.,'45',Bachelor's degree,623,337,286,0,0,0,50,20,30,33,18,15,49,22,27,399,233,166,,,,,,,,,,30,17,13,62,27,35
2008-2009,131496,Georgetown University,First major,Physical sciences.,'40',Bachelor's degree,18,12,6,0,0,0,4,3,1,1,1,0,0,0,0,12,8,4,,,,,,,,,,0,0,0,1,0,1
2008-2009,131496,Georgetown University,First major,Area- ethnic- cultural- and gender studies.,'05',Bachelor's degree,24,10,14,0,0,0,1,1,0,0,0,0,1,0,1,22,9,13,,,,,,,,,,0,0,0,0,0,0
2008-2009,131496,Georgetown University,First major,English language and literature/letters.,'23',Bachelor's degree,118,46,72,0,0,0,8,1,7,13,5,8,7,3,4,82,33,49,,,,,,,,,,3,0,3,5,4,1
2008-2009,131496,Georgetown University,First major,Multi/interdisciplinary studies.,'30',Bachelor's degree,73,23,50,0,0,0,6,3,3,5,0,5,8,3,5,45,16,29,,,,,,,,,,5,0,5,4,1,3
