Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1994-1995,135726,University of Miami,Bachelor's degree,Physical Sciences,'40.0000',51,34,17,39,26,13,0,0,0,2,2,0,1,0,1,1,1,0,2,0,2,6,5,1
1994-1995,135726,University of Miami,Bachelor's degree,Protective Services,'43.0000',24,11,13,20,9,11,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,135726,University of Miami,Bachelor's degree,Psychology,'42.0000',183,39,144,113,27,86,16,4,12,41,7,34,4,1,3,0,0,0,0,0,0,9,0,9
1994-1995,135726,University of Miami,Bachelor's degree,Visual and Performing Arts,'50.0000',191,112,79,136,83,53,6,4,2,25,14,11,6,3,3,2,0,2,4,2,2,12,6,6
1994-1995,139959,University of Georgia,Bachelor's degree,Biological Sciences/Life Sciences,'26.0000',229,129,100,203,116,87,11,3,8,2,1,1,10,7,3,0,0,0,0,0,0,3,2,1
1994-1995,139959,University of Georgia,Bachelor's degree,Communications,'09.0000',254,89,165,232,79,153,10,3,7,1,0,1,3,1,2,0,0,0,0,0,0,8,6,2
1994-1995,139959,University of Georgia,Bachelor's degree,Communications Technologies,'10.0000',84,28,56,75,26,49,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1994-1995,139959,University of Georgia,Bachelor's degree,Computer and Information Sciences,'11.0000',26,22,4,16,15,1,3,2,1,1,1,0,2,1,1,0,0,0,0,0,0,4,3,1
1994-1995,139959,University of Georgia,Bachelor's degree,Education,'13.0000',725,153,572,675,144,531,36,4,32,5,2,3,2,0,2,0,0,0,0,0,0,7,3,4
1994-1995,139959,University of Georgia,Bachelor's degree,Home Economics,'19.0000',196,27,169,186,25,161,8,2,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
1994-1995,139959,University of Georgia,Bachelor's degree,Mathematics,'27.0000',32,20,12,24,17,7,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
1994-1995,139959,University of Georgia,Bachelor's degree,Multi/Interdisciplinary Studies,'30.0000',17,7,10,16,7,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,139959,University of Georgia,Bachelor's degree,Philosophy and Religion,'38.0000',31,27,4,28,25,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0
1994-1995,139959,University of Georgia,Bachelor's degree,Theological Studies/Religious Vocations,'39.0000',1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-1995,123961,University of Southern California,Bachelor's degree,Engineering,'14.0000',218,178,40,94,77,17,5,4,1,13,12,1,58,45,13,1,1,0,4,4,0,43,35,8
