,player,season,salary,agency,agent,salary_amnesty,league,team,player_off_roster_13_14,id_contract_type
640,Kelly Olynyk,2017-2018,4279021,Wasserman Media Group,Arn Tellem,FALSE,nba,Celtics,FALSE,QO
685,Kris Humphries,2013-2014,12000000,Wasserman Media Group,Arn Tellem,FALSE,nba,Celtics,FALSE,G
761,MarShon Brooks,2013-2014,1210080,Verus Management Team,Seth Cohen,FALSE,nba,Celtics,FALSE,G
762,MarShon Brooks,2014-2015,2179354,Verus Management Team,Seth Cohen,FALSE,nba,Celtics,FALSE,TO
763,MarShon Brooks,2015-2016,3201471,Verus Management Team,Seth Cohen,FALSE,nba,Celtics,FALSE,QO
903,Phil Pressey,2013-2014,490180,Creative Artists Agency,Aaron Mintz,FALSE,nba,Celtics,FALSE,G
904,Phil Pressey,2014-2015,816482,Creative Artists Agency,Aaron Mintz,FALSE,nba,Celtics,FALSE,U
905,Phil Pressey,2015-2016,947276,Creative Artists Agency,Aaron Mintz,FALSE,nba,Celtics,FALSE,U
906,Phil Pressey,2016-2017,1215696,Creative Artists Agency,Aaron Mintz,FALSE,nba,Celtics,FALSE,QO
917,Rajon Rondo,2013-2014,11954545,BDA Sports Management,Bill Duffy,FALSE,nba,Celtics,FALSE,G
918,Rajon Rondo,2014-2015,12909091,BDA Sports Management,Bill Duffy,FALSE,nba,Celtics,FALSE,G
1157,Victor Faverani,2013-2014,2000000,Interperformances,Herb Rudoy,FALSE,nba,Celtics,FALSE,G
1158,Victor Faverani,2014-2015,2090000,Interperformances,Herb Rudoy,FALSE,nba,Celtics,FALSE,G
1159,Victor Faverani,2015-2016,2180000,Interperformances,Herb Rudoy,FALSE,nba,Celtics,FALSE,U
1160,Victor Faverani,2016-2017,2725000,Interperformances,Herb Rudoy,FALSE,nba,Celtics,FALSE,QO
70,Antawn Jamison,2013-2014,884293,Wasserman Media Group,Arn Tellem,FALSE,nba,Clippers,FALSE,G
126,Blake Griffin,2013-2014,16441500,Excel Sports Management,Jeff Schwartz,FALSE,nba,Clippers,FALSE,G
