"","League","Season","GameDate","GameID","BoxScoreURL","PlayByPlayURL","HomeNameFull","HomeName3","AwayNameFull","AwayName3","HaveBoxScore","HavePlayByPlay","AnalyzedPlayByPlay","Source","Season.Type"
"58","NBA","2007 playoffs",2007-05-15,"20070515CHIDET","http://www.nba.com/games/20070515/CHIDET/boxscore.html","http://www.nba.com/games/20070515/CHIDET/playbyplay.html","Detroit Pistons","DET","Chicago Bulls","CHI","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"59","NBA","2007 playoffs",2007-05-15,"20070515GSWUTA","http://www.nba.com/games/20070515/GSWUTA/boxscore.html","http://www.nba.com/games/20070515/GSWUTA/playbyplay.html","Utah Jazz","UTA","Golden State Warriors","GSW","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"60","NBA","2007 playoffs",2007-05-16,"20070516NJNCLE","http://www.nba.com/games/20070516/NJNCLE/boxscore.html","http://www.nba.com/games/20070516/NJNCLE/playbyplay.html","Cleveland Cavaliers","CLE","New Jersey Nets","NJN","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"61","NBA","2007 playoffs",2007-05-16,"20070516SASPHX","http://www.nba.com/games/20070516/SASPHX/boxscore.html","http://www.nba.com/games/20070516/SASPHX/playbyplay.html","Phoenix Suns","PHX","San Antonio Spurs","SAS","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"62","NBA","2007 playoffs",2007-05-17,"20070517DETCHI","http://www.nba.com/games/20070517/DETCHI/boxscore.html","http://www.nba.com/games/20070517/DETCHI/playbyplay.html","Chicago Bulls","CHI","Detroit Pistons","DET","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"63","NBA","2007 playoffs",2007-05-18,"20070518CLENJN","http://www.nba.com/games/20070518/CLENJN/boxscore.html","http://www.nba.com/games/20070518/CLENJN/playbyplay.html","New Jersey Nets","NJN","Cleveland Cavaliers","CLE","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"64","NBA","2007 playoffs",2007-05-18,"20070518PHXSAS","http://www.nba.com/games/20070518/PHXSAS/boxscore.html","http://www.nba.com/games/20070518/PHXSAS/playbyplay.html","San Antonio Spurs","SAS","Phoenix Suns","PHX","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"65","NBA","2007 playoffs",2007-05-20,"20070520UTASAS","http://www.nba.com/games/20070520/UTASAS/boxscore.html","http://www.nba.com/games/20070520/UTASAS/playbyplay.html","San Antonio Spurs","SAS","Utah Jazz","UTA","NULL",2007-10-02,2008-12-09,"Basketball Value","Playoffs"
"66","NBA","2007 playoffs",2007-05-21,"20070521CLEDET","http://www.nba.com/games/20070521/CLEDET/boxscore.html","http://www.nba.com/games/20070521/CLEDET/playbyplay.html","Detroit Pistons","DET","Cleveland Cavaliers","CLE","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"67","NBA","2007 playoffs",2007-05-22,"20070522UTASAS","http://www.nba.com/games/20070522/UTASAS/boxscore.html","http://www.nba.com/games/20070522/UTASAS/playbyplay.html","San Antonio Spurs","SAS","Utah Jazz","UTA","NULL",2007-10-07,2008-12-09,"Basketball Value","Playoffs"
"68","NBA","2007 playoffs",2007-05-24,"20070524CLEDET","http://www.nba.com/games/20070524/CLEDET/boxscore.html","http://www.nba.com/games/20070524/CLEDET/playbyplay.html","Detroit Pistons","DET","Cleveland Cavaliers","CLE","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"69","NBA","2007 playoffs",2007-05-26,"20070526SASUTA","http://www.nba.com/games/20070526/SASUTA/boxscore.html","http://www.nba.com/games/20070526/SASUTA/playbyplay.html","Utah Jazz","UTA","San Antonio Spurs","SAS","NULL",2007-10-07,2008-12-09,"Basketball Value","Playoffs"
"70","NBA","2007 playoffs",2007-05-27,"20070527DETCLE","http://www.nba.com/games/20070527/DETCLE/boxscore.html","http://www.nba.com/games/20070527/DETCLE/playbyplay.html","Cleveland Cavaliers","CLE","Detroit Pistons","DET","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"71","NBA","2007 playoffs",2007-05-28,"20070528SASUTA","http://www.nba.com/games/20070528/SASUTA/boxscore.html","http://www.nba.com/games/20070528/SASUTA/playbyplay.html","Utah Jazz","UTA","San Antonio Spurs","SAS","NULL",2007-10-07,2008-12-09,"Basketball Value","Playoffs"
"72","NBA","2007 playoffs",2007-05-29,"20070529DETCLE","http://www.nba.com/games/20070529/DETCLE/boxscore.html","http://www.nba.com/games/20070529/DETCLE/playbyplay.html","Cleveland Cavaliers","CLE","Detroit Pistons","DET","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"73","NBA","2007 playoffs",2007-05-30,"20070530UTASAS","http://www.nba.com/games/20070530/UTASAS/boxscore.html","http://www.nba.com/games/20070530/UTASAS/playbyplay.html","San Antonio Spurs","SAS","Utah Jazz","UTA","NULL",2007-10-07,2008-12-09,"Basketball Value","Playoffs"
"74","NBA","2007 playoffs",2007-05-31,"20070531CLEDET","http://www.nba.com/games/20070531/CLEDET/boxscore.html","http://www.nba.com/games/20070531/CLEDET/playbyplay.html","Detroit Pistons","DET","Cleveland Cavaliers","CLE","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"75","NBA","2007 playoffs",2007-06-02,"20070602DETCLE","http://www.nba.com/games/20070602/DETCLE/boxscore.html","http://www.nba.com/games/20070602/DETCLE/playbyplay.html","Cleveland Cavaliers","CLE","Detroit Pistons","DET","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"76","NBA","2007 playoffs",2007-06-07,"20070607CLESAS","http://www.nba.com/games/20070607/CLESAS/boxscore.html","http://www.nba.com/games/20070607/CLESAS/playbyplay.html","San Antonio Spurs","SAS","Cleveland Cavaliers","CLE","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"77","NBA","2007 playoffs",2007-06-10,"20070610CLESAS","http://www.nba.com/games/20070610/CLESAS/boxscore.html","http://www.nba.com/games/20070610/CLESAS/playbyplay.html","San Antonio Spurs","SAS","Cleveland Cavaliers","CLE","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"78","NBA","2007 playoffs",2007-06-12,"20070612SASCLE","http://www.nba.com/games/20070612/SASCLE/boxscore.html","http://www.nba.com/games/20070612/SASCLE/playbyplay.html","Cleveland Cavaliers","CLE","San Antonio Spurs","SAS","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
"79","NBA","2007 playoffs",2007-06-14,"20070614SASCLE","http://www.nba.com/games/20070614/SASCLE/boxscore.html","http://www.nba.com/games/20070614/SASCLE/playbyplay.html","Cleveland Cavaliers","CLE","San Antonio Spurs","SAS","NULL",2007-10-27,2008-12-09,"Basketball Value","Playoffs"
