"","A","B","C","D","Season","F","G","H","I","J","Source","Season.Type"
"390",712,"Brewer","Brewer, Corey","NBA","MIN","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"391",713,"Richard","Richard, Chris","NBA","CHI","2009-2010","4","20100206MIACHI","2010-02-05","2010-07-01","Basketball Value","Regular Season"
"392",714,"Durant","Durant, Kevin","NBA","OKC","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"393",715,"Green","Green, Jeff","NBA","OKC","2009-2010","3.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"394",716,"Thornton","Thornton, Al","NBA","LAC","2009-2010","3","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"395",716,"Thornton","Thornton, Al","NBA","WAS","2009-2010","3","20100219DENWAS","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"396",718,"Tucker","Tucker, Alando","NBA","MIN","2009-2010","3","20100126MINNYK","2009-12-29","2010-07-01","Basketball Value","Regular Season"
"397",718,"Tucker","Tucker, Alando","NBA","PHX","2009-2010","3","SeasonStart","2009-10-26","2009-12-29","Basketball Value","Regular Season"
"398",719,"Hawes","Hawes, Spencer","NBA","SAC","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"399",722,"Smith","Smith, Jason","NBA","PHI","2009-2010","4.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"400",726,"Watson","Watson, C.J.","NBA","GSW","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"401",729,"Harris","Harris, Mike","NBA","WAS","2009-2010","3.2","20100224MEMWAS","2010-02-18","2010-03-24","Basketball Value","Regular Season"
"402",729,"Harris","Harris, Mike","NBA","HOU","2009-2010","3.2","20091223HOUORL","2009-12-23","2010-02-18","Basketball Value","Regular Season"
"403",729,"Harris","Harris, Mike","NBA","HOU","2009-2010","3.2","20100324HOUOKC","2010-03-24","2010-07-01","Basketball Value","Regular Season"
"404",734,"Fernandez","Fernandez, Rudy","NBA","POR","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"405",735,"Bayless","Bayless, Jerryd","NBA","POR","2009-2010","1.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"406",736,"Batum","Batum, Nicolas","NBA","POR","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"407",739,"Greene","Greene, Donte","NBA","SAC","2009-2010","3","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"408",740,"B. Brown","Brown, Bobby","NBA","NOH","2009-2010","1.8","SeasonStart","2009-10-26","2010-01-27","Basketball Value","Regular Season"
"409",740,"Brown","Brown, Bobby","NBA","LAC","2009-2010","1.8","20100127LACNJN","2010-01-27","2010-07-01","Basketball Value","Regular Season"
"410",741,"Thompson","Thompson, Jason","NBA","SAC","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"411",746,"Randolph","Randolph, Anthony","NBA","GSW","2009-2010","4.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"412",747,"Hunter","Hunter, Othello","NBA","ATL","2009-2010","3.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"413",748,"Koufos","Koufos, Kosta","NBA","UTA","2009-2010","4.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"414",751,"Giddens","Giddens, J.R.","NBA","NYK","2009-2010","2","20100317NYKBOS","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"415",751,"Giddens","Giddens, J.R.","NBA","BOS","2009-2010","2","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"416",752,"Walker","Walker, Bill","NBA","BOS","2009-2010","3","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"417",752,"Walker","Walker, Bill","NBA","NYK","2009-2010","3","20100223NYKBOS","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"418",753,"Ajinca","Ajinca, Alexis","NBA","CHA","2009-2010","4.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"419",754,"Augustin","Augustin, D.J.","NBA","CHA","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"420",755,"Rose","Rose, Derrick","NBA","CHI","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"421",756,"Hickson","Hickson, J.J.","NBA","CLE","2009-2010","4.6","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"422",757,"Jackson","Jackson, Darnell","NBA","MIL","2009-2010","4","20100414MILBOS","2010-04-14","2010-07-01","Basketball Value","Regular Season"
"423",757,"Jackson","Jackson, Darnell","NBA","CLE","2009-2010","4","SeasonStart","2009-10-26","2010-03-23","Basketball Value","Regular Season"
"424",757,"D. Jackson","Jackson, Darnell","NBA","CLE","2009-2010","4","SeasonStart","2009-10-26","2010-03-23","Basketball Value","Regular Season"
"425",758,"J. Williams","Williams, Jawad","NBA","CLE","2009-2010","3.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"426",759,"Weems","Weems, Sonny","NBA","TOR","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"427",761,"Dorsey","Dorsey, Joey","NBA","SAC","2009-2010","5","20100220SACLAC","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"428",761,"Dorsey","Dorsey, Joey","NBA","HOU","2009-2010","5","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"429",762,"Hibbert","Hibbert, Roy","NBA","IND","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"430",763,"Rush","Rush, Brandon","NBA","IND","2009-2010","2.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"431",764,"Gordon","Gordon, Eric","NBA","LAC","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"432",765,"Jordan","Jordan, DeAndre","NBA","LAC","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"433",768,"Arthur","Arthur, Darrell","NBA","MEM","2009-2010","4.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"434",769,"Gasol","Gasol, Marc","NBA","MEM","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"435",770,"Haddadi","Haddadi, Hamed","NBA","MEM","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"436",771,"Mayo","Mayo, O.J.","NBA","MEM","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"437",772,"Beasley","Beasley, Michael","NBA","MIA","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"438",773,"Chalmers","Chalmers, Mario","NBA","MIA","2009-2010","1","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"439",776,"Alexander","Alexander, Joe","NBA","MIL","2009-2010","3","SeasonStart","2009-10-26","2010-02-18","Basketball Value","Regular Season"
"440",776,"Alexander","Alexander, Joe","NBA","CHI","2009-2010","3","20100301ATLCHI","2010-02-18","2010-07-01","Basketball Value","Regular Season"
"441",777,"Mbah a Moute","Mbah a Moute, Luc","NBA","MIL","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"442",778,"Love","Love, Kevin","NBA","MIN","2009-2010","4.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"443",779,"Anderson","Anderson, Ryan","NBA","ORL","2009-2010","4.2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"444",780,"Douglas-Roberts","Douglas-Roberts, Chris","NBA","NJN","2009-2010","1.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"445",781,"Lopez","Lopez, Brook","NBA","NJN","2009-2010","5","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"446",784,"Gallinari","Gallinari, Danilo","NBA","NYK","2009-2010","2.8","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"447",785,"Weaver","Weaver, Kyle","NBA","OKC","2009-2010","2","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"448",786,"Westbrook","Westbrook, Russell","NBA","OKC","2009-2010","1.4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
"449",787,"White","White, D.J.","NBA","OKC","2009-2010","4","SeasonStart","2009-10-26","2010-07-01","Basketball Value","Regular Season"
