"","PlayerName","PlayerTrueName","League","TeamName3","Season","Position","Comment","StartDate","EndDate","Source","Season.Type"
"675","Davis","Davis, Glen","NBA","BOS","2010 playoffs",3.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"682","Moon","Moon, Jamario","NBA","CLE","2010 playoffs",3,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"686","Noah","Noah, Joakim","NBA","CHI","2010 playoffs",4.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"689","Afflalo","Afflalo, Arron","NBA","DEN","2010 playoffs",2,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"695","Horford","Horford, Al","NBA","ATL","2010 playoffs",4.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"696","Law","Law, Acie","NBA","CHI","2010 playoffs",1.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"697","West","West, Mario","NBA","ATL","2010 playoffs",2.49,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"699","Dudley","Dudley, Jared","NBA","PHX","2010 playoffs",2.51,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"700","Anthony","Anthony, Joel","NBA","MIA","2010 playoffs",5.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"701","Cook","Cook, Daequan","NBA","MIA","2010 playoffs",1.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"702","Gortat","Gortat, Marcin","NBA","ORL","2010 playoffs",4.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"713","Richard","Richard, Chris","NBA","CHI","2010 playoffs",4.49,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"714","Durant","Durant, Kevin","NBA","OKC","2010 playoffs",3,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"715","Green","Green, Jeff","NBA","OKC","2010 playoffs",4,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"734","Fernandez","Fernandez, Rudy","NBA","POR","2010 playoffs",1.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"735","Bayless","Bayless, Jerryd","NBA","POR","2010 playoffs",1.5,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"736","Batum","Batum, Nicolas","NBA","POR","2010 playoffs",3,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"748","Koufos","Koufos, Kosta","NBA","UTA","2010 playoffs",4.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"753","Ajinca","Ajinca, Alexis","NBA","CHA","2010 playoffs",4.99,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"754","Augustin","Augustin, D.J.","NBA","CHA","2010 playoffs",1.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"755","Rose","Rose, Derrick","NBA","CHI","2010 playoffs",1,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"756","Hickson","Hickson, J.J.","NBA","CLE","2010 playoffs",4.02,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"758","J. Williams","Williams, Jawad","NBA","CLE","2010 playoffs",3.49,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"772","Beasley","Beasley, Michael","NBA","MIA","2010 playoffs",4,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"773","Chalmers","Chalmers, Mario","NBA","MIA","2010 playoffs",1,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"776","Alexander","Alexander, Joe","NBA","CHI","2010 playoffs",3.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
"777","Mbah a Moute","Mbah a Moute, Luc","NBA","MIL","2010 playoffs",4.01,"SeasonStart","2010-04-16","2010-07-01","Basketball Value","Playoffs"
