Year,unitid,Institution_Name,Major,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2003-2004,230728,Utah State University,First major,Bachelor's degree,Social sciences.,'45',161,95,66,143,84,59,1,1,0,3,1,2,4,4,0,1,0,1,6,3,3,3,2,1
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Area- ethnic- cultural- and gender studies.,'05',21,7,14,9,3,6,4,0,4,4,2,2,1,1,0,1,0,1,2,1,1,0,0,0
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Visual and performing arts.,'50',69,15,54,58,15,43,5,0,5,1,0,1,1,0,1,0,0,0,3,0,3,1,0,1
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Communication- journalism- and related programs.,'09',64,20,44,56,20,36,3,0,3,1,0,1,2,0,2,0,0,0,2,0,2,0,0,0
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Computer and information sciences and support services.,'11',28,24,4,14,13,1,1,1,0,3,3,0,4,3,1,0,0,0,5,4,1,1,0,1
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Mathematics and statistics.,'27',35,13,22,29,10,19,0,0,0,0,0,0,3,1,2,0,0,0,3,2,1,0,0,0
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Psychology.,'42',101,13,88,78,6,72,6,0,6,2,1,1,6,2,4,0,0,0,7,3,4,2,1,1
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Biological and biomedical sciences.,'26',40,19,21,30,13,17,4,1,3,0,0,0,5,5,0,0,0,0,0,0,0,1,0,1
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,History,'54',58,31,27,46,25,21,3,2,1,2,0,2,0,0,0,0,0,0,7,4,3,0,0,0
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Philosophy and religious studies.,'38',27,20,7,19,15,4,1,0,1,2,2,0,1,1,0,0,0,0,4,2,2,0,0,0
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Education.,'13',67,6,61,52,6,46,3,0,3,2,0,2,4,0,4,2,0,2,4,0,4,0,0,0
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Engineering.,'14',268,187,81,163,115,48,19,7,12,7,5,2,28,20,8,1,1,0,18,16,2,32,23,9
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,English language and literature/letters.,'23',80,29,51,62,26,36,5,0,5,3,1,2,6,1,5,0,0,0,4,1,3,0,0,0
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Foreign languages- literatures- and linguistics.,'16',57,26,31,45,21,24,0,0,0,3,1,2,1,1,0,0,0,0,8,3,5,0,0,0
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Multi/interdisciplinary studies.,'30',85,28,57,67,21,46,4,0,4,4,1,3,7,5,2,0,0,0,3,1,2,0,0,0
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Physical sciences.,'40',26,16,10,17,11,6,1,1,0,1,0,1,6,3,3,0,0,0,1,1,0,0,0,0
2003-2004,221999,Vanderbilt University,First major,Bachelor's degree,Social sciences.,'45',488,243,245,407,200,207,19,9,10,12,5,7,17,11,6,1,0,1,23,10,13,9,8,1
