ID_Sport,ID_School,Season,Number,Player,Player,First_Name,Last_Name,Position,Height,Weight,Class,Experience,Hometown/Prior_School,Player_URL
MBBALL,UF,2012-2013,0,Jacob Kurtz,Jacob Kurtz,Jacob,Kurtz,G,"6' 5""",208,So.,1L,"Oviedo, Fla./Hagerty",http://gatorzone.com/basketball/men/bios.php?player_id=41
MBBALL,UF,2012-2013,34,Cody Larson,Cody Larson,Cody,Larson,F/C,"6' 9""",239,R-So.,1L,"Sioux Falls, S.D./Roosevelt",http://gatorzone.com/basketball/men/bios.php?player_id=33
MBBALL,UF,2012-2013,33,Erik Murphy,Erik Murphy,Erik,Murphy,F/C,"6' 10""",238,Sr.,3L,"South Kingstown, R.I./St. Mark’s (Mass.)",http://gatorzone.com/basketball/men/bios.php?player_id=31
MBBALL,UF,2012-2013,11,Braxton Ogbueze,Braxton Ogbueze,Braxton,Ogbueze,G,"6' 0""",182,Fr.,HS,"Charlotte, N.C./United Faith",http://gatorzone.com/basketball/men/bios.php?player_id=42
MBBALL,UF,2012-2013,24,Casey Prather,Casey Prather,Casey,Prather,G/F,"6' 6""",208,Jr.,2L,"Jackson, Tenn./North Side",http://gatorzone.com/basketball/men/bios.php?player_id=34
MBBALL,UF,2012-2013,3,Mike Rosario,Mike Rosario,Mike,Rosario,G,"6' 3""",183,R-Sr.,1L,"Jersey City, N.J./Rutgers",http://gatorzone.com/basketball/men/bios.php?player_id=35
MBBALL,UF,2012-2013,25,DeVon Walker,DeVon Walker,DeVon,Walker,G/F,"6' 6""",191,Fr.,HS,"Winter Haven, Fla./Winter Haven",http://gatorzone.com/basketball/men/bios.php?player_id=43
MBBALL,UF,2012-2013,5,Scottie Wilbekin,Scottie Wilbekin,Scottie,Wilbekin,G,"6' 2""",176,Jr.,2L,"Gainesville, Fla./The Rock",http://gatorzone.com/basketball/men/bios.php?player_id=36
MBBALL,UF,2012-2013,15,Will Yeguete,Will Yeguete,Will,Yeguete,F,"6' 7""",240,Jr.,2L,"Bordeaux, France/Florida Air Academy",http://gatorzone.com/basketball/men/bios.php?player_id=37
MBBALL,UF,2012-2013,4,Patric Young,Patric Young,Patric,Young,C,"6' 9""",249,Jr.,2L,"Jacksonville, Fla./Providence (H.S.)",http://gatorzone.com/basketball/men/bios.php?player_id=38
