Season,League,Team,Arena,Capacity,"City, State/Province",Wikipedia_URL,Nickname,Address,Latitude-Longitude,Date Opened,Date Closed,Date Demolished,Year Renovated
1983-84,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1982-83,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1981-82,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1980-81,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1979-80,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1978-79,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1977-78,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1976-77,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1975-76,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
1974-75,NBA,Boston Celtics,Boston Garden,"14,890","Boston, Massachusetts",http://en.wikipedia.org/wiki/Boston_Garden,,"150 Causeway Street, Boston, Massachusetts, 02114",42°21?56.51?N 71°3?42.18?W,11/17/28,9/28/95,"November, 1997",
