School_Label,CIPFamily,CIPFamilyTitle,Value_Type,Value,Percentage_School
Oregon,45,SOCIAL SCIENCES.,College Major,6,0.06
Oregon,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.01
Oregon,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,16,0.16
Oregon State,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,3,0.028846154
Oregon State,3,NATURAL RESOURCES AND CONSERVATION.,College Major,1,0.009615385
Oregon State,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,2,0.019230769
Oregon State,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,10,0.096153846
Oregon State,13,EDUCATION.,College Major,1,0.009615385
Oregon State,14,ENGINEERING.,College Major,4,0.038461538
Oregon State,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.,College Major,1,0.009615385
Oregon State,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,7,0.067307692
Oregon State,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,21,0.201923077
Oregon State,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.009615385
Oregon State,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,8,0.076923077
Oregon State,42,PSYCHOLOGY.,College Major,5,0.048076923
Oregon State,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,1,0.009615385
Oregon State,45,SOCIAL SCIENCES.,College Major,13,0.125
Oregon State,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,5,0.048076923
Oregon State,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,21,0.201923077
Rutgers,1,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.",College Major,1,0.010204082
Rutgers,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,8,0.081632653
Rutgers,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,3,0.030612245
Rutgers,23,ENGLISH LANGUAGE AND LITERATURE/LETTERS.,College Major,1,0.010204082
Rutgers,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,54,0.551020408
Rutgers,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,2,0.020408163
Rutgers,42,PSYCHOLOGY.,College Major,1,0.010204082
Rutgers,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,5,0.051020408
Rutgers,45,SOCIAL SCIENCES.,College Major,7,0.071428571
Rutgers,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,1,0.010204082
Rutgers,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,14,0.142857143
Rutgers,54,HISTORY.,College Major,1,0.010204082
San Jose State,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,14,0.130841121
San Jose State,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.009345794
San Jose State,13,EDUCATION.,College Major,1,0.009345794
San Jose State,14,ENGINEERING.,College Major,4,0.037383178
San Jose State,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.,College Major,1,0.009345794
San Jose State,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,23,0.214953271
San Jose State,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,18,0.168224299
San Jose State,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,1,0.009345794
San Jose State,40,PHYSICAL SCIENCES.,College Major,1,0.009345794
San Jose State,42,PSYCHOLOGY.,College Major,3,0.028037383
San Jose State,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,10,0.093457944
San Jose State,45,SOCIAL SCIENCES.,College Major,10,0.093457944
San Jose State,50,VISUAL AND PERFORMING ARTS.,College Major,1,0.009345794
San Jose State,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,18,0.168224299
San Jose State,54,HISTORY.,College Major,1,0.009345794
South Carolina,5,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",College Major,1,0.020408163
South Carolina,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.020408163
South Carolina,11,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,College Major,1,0.020408163
South Carolina,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.020408163
South Carolina,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,4,0.081632653
South Carolina,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,12,0.244897959
South Carolina,43,"HOMELAND SECURITY, LAW ENFORCEMENT, FIREFIGHTING AND RELATED PROTECTIVE SERVICES.",College Major,8,0.163265306
South Carolina,45,SOCIAL SCIENCES.,College Major,7,0.142857143
South Carolina,50,VISUAL AND PERFORMING ARTS.,College Major,2,0.040816327
South Carolina,51,HEALTH PROFESSIONS AND RELATED PROGRAMS.,College Major,2,0.040816327
South Carolina,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,8,0.163265306
South Carolina,54,HISTORY.,College Major,2,0.040816327
Stanford,4,ARCHITECTURE AND RELATED SERVICES.,College Major,1,0.015873016
Stanford,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,8,0.126984127
Stanford,14,ENGINEERING.,College Major,5,0.079365079
Stanford,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,1,0.015873016
Stanford,26,BIOLOGICAL AND BIOMEDICAL SCIENCES.,College Major,1,0.015873016
Stanford,30,MULTI/INTERDISCIPLINARY STUDIES.,College Major,16,0.253968254
Stanford,38,PHILOSOPHY AND RELIGIOUS STUDIES.,College Major,2,0.031746032
Stanford,42,PSYCHOLOGY.,College Major,6,0.095238095
Stanford,44,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS.,College Major,2,0.031746032
Stanford,45,SOCIAL SCIENCES.,College Major,16,0.253968254
Stanford,49,TRANSPORTATION AND MATERIALS MOVING.,College Major,1,0.015873016
Stanford,52,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.",College Major,2,0.031746032
Stanford,54,HISTORY.,College Major,2,0.031746032
Texas,9,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",College Major,1,0.034482759
Texas,13,EDUCATION.,College Major,1,0.034482759
Texas,14,ENGINEERING.,College Major,2,0.068965517
Texas,24,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES.",College Major,2,0.068965517
Texas,31,"PARKS, RECREATION, LEISURE, AND FITNESS STUDIES.",College Major,7,0.24137931
Texas,33,CITIZENSHIP ACTIVITIES.,College Major,5,0.172413793
Texas,40,PHYSICAL SCIENCES.,College Major,1,0.034482759
Texas,45,SOCIAL SCIENCES.,College Major,2,0.068965517
