"","player","date","season","pst_team","notes","new_contract_source","pst_contract_value_millions","contract_term","contract_start_season","contract_end_season","contract_option","year","player_bref_url"
"170","Rod Carew","2/8/79",1979,"Angels","re-signed to a 5-year contract","re-signinging",0,5,1979,1984,"",1979,"http://www.baseball-reference.com/players/c/carewro01.shtml"
"171","Ron Cey","1/29/83",1983,"Cubs","signed to a 5-year, $950K/year contract (date approximate)","free agency",0,5,1983,1988,"",1983,"http://www.baseball-reference.com/players/c/ceyro01.shtml"
"172","Roy Oswalt","8/29/06",2006,"Astros","re-signed to a 5-year contract extension through 2011","re-signinging",0,5,2006,2011,"",2006,"http://www.baseball-reference.com/players/o/oswalro01.shtml"
"173","Ryan Braun","4/21/11",2011,"Brewers","re-signed to a 5-year contract extension through 2020 with an option for 2021","re-signinging",0,5,2011,2020,"an option for 2021",2011,"http://www.baseball-reference.com/players/b/braunry02.shtml"
"174","Ryan Braun","5/15/08",2008,"Brewers","re-signed to a 7-year contract extension through 2015","re-signinging",0,7,2008,2015,"",2008,"http://www.baseball-reference.com/players/b/braunry02.shtml"
"175","Ryan Howard","4/26/10",2010,"Phillies","re-signed to a 5-year contract extension through 2016","re-signinging",0,5,2010,2016,"",2010,"http://www.baseball-reference.com/players/h/howarry01.shtml"
"176","Ryan Zimmerman","4/20/09",2009,"Nationals","re-signed to a 5-year contract extension through 2013","re-signinging",0,5,2009,2013,"",2009,"http://www.baseball-reference.com/players/z/zimmery01.shtml"
"177","Ryan Zimmerman","2/26/12",2012,"Nationals","re-signed to a 6-year contract extension through 2019 with a 1-year option for 2020","re-signinging",0,6,2012,2019,"1-year option for 2020",2012,"http://www.baseball-reference.com/players/z/zimmery01.shtml"
"178","Ryne Sandberg","2/1/84",1984,"Cubs","signed to a 6-year contract through 1989","free agency",0,6,1984,1989,"",1984,"http://www.baseball-reference.com/players/s/sandbry01.shtml"
"179","Salvador Perez","2/27/12",2012,"Royals","re-signed to a 5-year restructured contract extension through 2016 with options for 2017-19","re-signinging",0,5,2012,2016,"options for 2017-19",2012,"http://www.baseball-reference.com/players/p/perezsa02.shtml"
"180","Scott Erickson","5/13/98",1998,"Orioles","re-signed to a 5-year, $32M contract","re-signinging",32,5,1998,2003,"",1998,"http://www.baseball-reference.com/players/e/ericksc01.shtml"
"181","Shawn Green","11/8/99",2000,"Dodgers","re-signed to a 6-year contract extension through 2006","re-signinging",0,6,2000,2006,"",1999,"http://www.baseball-reference.com/players/g/greensh01.shtml"
"182","Starlin Castro","8/28/12",2012,"Cubs","re-signed to a 7-year contract extension through 2019 with an option for 2020","re-signinging",0,7,2012,2019,"an option for 2020",2012,"http://www.baseball-reference.com/players/c/castrst01.shtml"
"183","Stephen Drew","5/31/05",2005,"Diamondbacks","signed to a 5-year contract","free agency",0,5,2005,2010,"",2005,"http://www.baseball-reference.com/players/d/drewst01.shtml"
"184","Steve Trout","12/7/84",1985,"Cubs","signed to a 5-year, reported $4.5M contract","free agency",4.5,5,1985,1990,"",1984,"http://www.baseball-reference.com/players/t/troutst01.shtml"
"185","Terry Forster","11/18/77",1978,"Dodgers","signed free agent (from Pirates) to a 5-year contract","free agency",0,5,1978,1983,"",1977,"http://www.baseball-reference.com/players/f/forstte01.shtml"
"186","Tippy Martinez","1/15/81",1981,"Orioles","re-signed to a 5-year contract","re-signinging",0,5,1981,1986,"",1981,"http://www.baseball-reference.com/players/m/martiti01.shtml"
"187","Tom Brunansky","4/8/85",1985,"Twins","re-signed to a 6-year contract","re-signinging",0,6,1985,1991,"",1985,"http://www.baseball-reference.com/players/b/brunato01.shtml"
"188","Torii Hunter","11/21/07",2008,"Angels","signed free agent to a 5-year contract through 2012","free agency",0,5,2008,2012,"",2007,"http://www.baseball-reference.com/players/h/hunteto01.shtml"
"189","Travis Fryman","12/15/97",1998,"Indians","re-signed to a 5-year contract","re-signinging",0,5,1998,2003,"",1997,"http://www.baseball-reference.com/players/f/frymatr01.shtml"
"190","Trevor Cahill","4/11/11",2011,"Athletics","re-signed to a 5-year contract extension through 2015 with options for 2016-17","re-signinging",0,5,2011,2015,"options for 2016-17",2011,"http://www.baseball-reference.com/players/c/cahiltr01.shtml"
"191","Troy Tulowitzki","11/30/10",2011,"Rockies","re-signed to a 7-year contract extension through 2020","re-signinging",0,7,2011,2020,"",2010,"http://www.baseball-reference.com/players/t/tulowtr01.shtml"
"192","Troy Tulowitzki","1/20/08",2008,"Rockies","re-signed to a 6-year, $30M contract through 2013 with a team option for 2014","re-signinging",30,6,2008,2013,"team option for 2014",2008,"http://www.baseball-reference.com/players/t/tulowtr01.shtml"
"193","Vernon Wells","3/17/03",2003,"Blue Jays","re-signed to a 5-year contract through 2007","re-signinging",0,5,2003,2007,"",2003,"http://www.baseball-reference.com/players/w/wellsve01.shtml"
"194","Vernon Wells","12/15/06",2007,"Blue Jays","re-signed to a 7-year contract extension through 2014","re-signinging",0,7,2007,2014,"",2006,"http://www.baseball-reference.com/players/w/wellsve01.shtml"
"195","Victor Martinez","4/5/05",2005,"Indians","re-signed to a 5-year contract with a team option for 2010","re-signinging",0,5,2005,2010,"",2005,"http://www.baseball-reference.com/players/m/martivi01.shtml"
"196","Vladimir Guerrero","1/12/04",2004,"Angels","signed free agent to a 5-year contract with a 1-year team option for 2009","free agency",0,5,2004,2009,"",2004,"http://www.baseball-reference.com/players/g/guerrvl01.shtml"
"197","Willie Upshaw","2/14/84",1984,"Blue Jays","re-signed to a 5-year contract","re-signinging",0,5,1984,1989,"",1984,"http://www.baseball-reference.com/players/u/upshawi01.shtml"
"198","Yadier Molina","3/1/12",2012,"Cardinals","re-signed to a 5-year contract extension through 2017 with an option for 2018","re-signinging",0,5,2012,2017,"an option for 2018",2012,"http://www.baseball-reference.com/players/m/molinya01.shtml"
"199","Yasiel Puig","6/29/12",2012,"Dodgers","signed free agent to a 7-year contract","free agency",0,7,2012,2019,"",2012,"http://www.baseball-reference.com/players/p/puigya01.shtml"
"200","Yovani Gallardo","4/8/10",2010,"Brewers","re-signed to a 5-year contract through 2014 with an option for 2015","re-signinging",0,5,2010,2014,"an option for 2015",2010,"http://www.baseball-reference.com/players/g/gallayo01.shtml"
"201","Yu Darvish","1/18/12",2012,"Rangers","signed free agent to a 6-year contract through 2017","free agency",0,6,2012,2017,"",2012,"http://www.baseball-reference.com/players/d/darviyu01.shtml"
"202","Zack Greinke","12/8/12",2013,"Dodgers","signed free agent to a 6-year contract through 2018","free agency",0,6,2013,2018,"",2012,"http://www.baseball-reference.com/players/g/greinza01.shtml"
