Year,unitid,Institution_Name,Sport,Cohort,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
1999-2000,217882,Clemson University,Baseball,Scholarship Awards,36,36,0,34,34,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1999-2000,217882,Clemson University,Basketball,Scholarship Awards,29,13,16,8,4,4,16,5,11,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1
1999-2000,217882,Clemson University,Cross-country and/or track,Scholarship Awards,57,29,28,29,16,13,20,10,10,0,0,0,0,0,0,0,0,0,1,0,1,7,3,4
1999-2000,217882,Clemson University,Football,Scholarship Awards,84,84,0,29,29,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,218663,University of South Carolina-Columbia,All other sports combined,Scholarship Awards,122,48,74,93,32,61,5,1,4,1,0,1,1,0,1,0,0,0,0,0,0,22,15,7
1999-2000,218663,University of South Carolina-Columbia,Baseball,Scholarship Awards,30,30,0,25,25,0,1,1,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0
1999-2000,218663,University of South Carolina-Columbia,Basketball,Scholarship Awards,26,12,14,5,3,2,17,8,9,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3
1999-2000,218663,University of South Carolina-Columbia,Cross-country and/or track,Scholarship Awards,39,14,25,11,3,8,25,9,16,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
1999-2000,218663,University of South Carolina-Columbia,Football,Scholarship Awards,87,87,0,25,25,0,61,61,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,221999,Vanderbilt University,All other sports combined,Scholarship Awards,81,35,46,67,29,38,0,0,0,4,2,2,0,0,0,0,0,0,7,2,5,3,2,1
1999-2000,221999,Vanderbilt University,Baseball,Scholarship Awards,17,17,0,15,15,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
1999-2000,221999,Vanderbilt University,Basketball,Scholarship Awards,23,10,13,10,4,6,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
1999-2000,221999,Vanderbilt University,Cross-country and/or track,Scholarship Awards,22,0,22,12,0,12,4,0,4,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
1999-2000,221999,Vanderbilt University,Football,Scholarship Awards,89,89,0,60,60,0,27,27,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
1999-2000,228246,Southern Methodist University,All other sports combined,Scholarship Awards,101,44,57,80,29,51,1,1,0,3,3,0,1,1,0,0,0,0,0,0,0,16,10,6
1999-2000,228246,Southern Methodist University,Basketball,Scholarship Awards,26,13,13,9,3,6,17,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,228246,Southern Methodist University,Cross-country and/or track,Scholarship Awards,30,14,16,1,1,0,4,1,3,1,0,1,0,0,0,0,0,0,0,0,0,24,12,12
1999-2000,228246,Southern Methodist University,Football,Scholarship Awards,75,75,0,45,45,0,28,28,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,228723,Texas A & M University-College Station,All other sports combined,Scholarship Awards,148,42,106,118,35,83,4,1,3,7,2,5,3,0,3,0,0,0,5,0,5,11,4,7
1999-2000,228723,Texas A & M University-College Station,Baseball,Scholarship Awards,40,40,0,35,35,0,0,0,0,3,3,0,1,1,0,1,1,0,0,0,0,0,0,0
1999-2000,228723,Texas A & M University-College Station,Basketball,Scholarship Awards,33,17,16,11,3,8,20,12,8,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
1999-2000,228723,Texas A & M University-College Station,Cross-country and/or track,Scholarship Awards,55,24,31,35,15,20,13,6,7,2,1,1,1,0,1,0,0,0,0,0,0,4,2,2
1999-2000,228723,Texas A & M University-College Station,Football,Scholarship Awards,91,91,0,29,29,0,57,57,0,1,1,0,2,2,0,0,0,0,2,2,0,0,0,0
1999-2000,228778,The University of Texas at Austin,All other sports combined,Scholarship Awards,201,65,136,169,56,113,5,1,4,9,1,8,4,1,3,2,1,1,0,0,0,12,5,7
1999-2000,228778,The University of Texas at Austin,Baseball,Scholarship Awards,36,36,0,33,33,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
1999-2000,228778,The University of Texas at Austin,Basketball,Scholarship Awards,31,14,17,12,3,9,16,8,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
1999-2000,228778,The University of Texas at Austin,Cross-country and/or track,Scholarship Awards,73,44,29,35,25,10,25,12,13,7,3,4,0,0,0,0,0,0,0,0,0,6,4,2
1999-2000,228778,The University of Texas at Austin,Football,Scholarship Awards,92,92,0,28,28,0,63,63,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999-2000,230728,Utah State University,All other sports combined,Scholarship Awards,85,18,67,77,16,61,0,0,0,3,0,3,2,0,2,1,0,1,0,0,0,2,2,0
1999-2000,230728,Utah State University,Basketball,Scholarship Awards,13,13,0,6,6,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1999-2000,230728,Utah State University,Cross-country and/or track,Scholarship Awards,54,22,32,45,18,27,1,1,0,2,1,1,1,1,0,0,0,0,0,0,0,5,1,4
1999-2000,230728,Utah State University,Football,Scholarship Awards,80,80,0,45,45,0,19,19,0,4,4,0,6,6,0,0,0,0,5,5,0,1,1,0
1999-2000,243744,Stanford University,All other sports combined,Scholarship Awards,226,92,134,174,65,109,12,8,4,12,6,6,21,7,14,0,0,0,0,0,0,7,6,1
1999-2000,243744,Stanford University,Baseball,Scholarship Awards,22,22,0,18,18,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1,0
1999-2000,243744,Stanford University,Basketball,Scholarship Awards,25,13,12,10,5,5,12,7,5,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1999-2000,243744,Stanford University,Cross-country and/or track,Scholarship Awards,38,18,20,29,16,13,4,0,4,3,1,2,1,1,0,0,0,0,0,0,0,1,0,1
1999-2000,243744,Stanford University,Football,Scholarship Awards,80,80,0,39,39,0,36,36,0,0,0,0,4,4,0,0,0,0,0,0,0,1,1,0
