Year,unitid,Institution_Name,CIP_Classificaiton,cipcode,Award_Level,Total,T.M,T.F
1985-1986,209542,Oregon State University,Vocational Home Economics,20',Bachelor's degrees,1,0,1
1985-1986,209542,Oregon State University,Letters,23',Bachelor's degrees,100,44,56
1985-1986,209542,Oregon State University,Life Sciences,26',Bachelor's degrees,157,85,72
1985-1986,209542,Oregon State University,Mathematics,27',Bachelor's degrees,36,30,6
1985-1986,209542,Oregon State University,Renewable Natural Resources,3',Bachelor's degrees,107,91,16
1985-1986,209542,Oregon State University,Multi/Interdisciplinary Studies,30',Bachelor's degrees,78,49,29
1985-1986,209542,Oregon State University,Parks and Recreation,31',Bachelor's degrees,11,3,8
1985-1986,209542,Oregon State University,Philosophy and Religion,38',Bachelor's degrees,7,5,2
1985-1986,209542,Oregon State University,Physical Sciences,40',Bachelor's degrees,74,62,12
1985-1986,209542,Oregon State University,Psychology,42',Bachelor's degrees,46,19,27
1985-1986,209542,Oregon State University,Social Sciences,45',Bachelor's degrees,208,138,70
1985-1986,209542,Oregon State University,Area and Ethnic Studies,5',Bachelor's degrees,2,1,1
1985-1986,209542,Oregon State University,Visual and Performing Arts,50',Bachelor's degrees,40,17,23
1985-1986,209542,Oregon State University,Business and Management,6',Bachelor's degrees,668,395,273
1985-1986,209542,Oregon State University,Communications,9',Bachelor's degrees,43,24,19
1985-1986,186380,Rutgers University-New Brunswick,Agricultural Business and Production,1',Bachelor's degrees,133,88,45
1985-1986,186380,Rutgers University-New Brunswick,Computer and Information Sciences,11',Bachelor's degrees,238,142,96
1985-1986,186380,Rutgers University-New Brunswick,Education,13',Bachelor's degrees,70,21,49
1985-1986,186380,Rutgers University-New Brunswick,Engineering,14',Bachelor's degrees,580,466,114
1985-1986,186380,Rutgers University-New Brunswick,Foreign Languages,16',Bachelor's degrees,105,23,82
1985-1986,186380,Rutgers University-New Brunswick,Allied Health,17',Bachelor's degrees,30,9,21
1985-1986,186380,Rutgers University-New Brunswick,Health Sciences,18',Bachelor's degrees,20,1,19
1985-1986,186380,Rutgers University-New Brunswick,Home Economics,19',Bachelor's degrees,57,1,56
1985-1986,186380,Rutgers University-New Brunswick,Agricultural Sciences,2',Bachelor's degrees,107,42,65
1985-1986,186380,Rutgers University-New Brunswick,Letters,23',Bachelor's degrees,308,90,218
1985-1986,186380,Rutgers University-New Brunswick,Liberal/General Studies,24',Bachelor's degrees,96,1,95
1985-1986,186380,Rutgers University-New Brunswick,Life Sciences,26',Bachelor's degrees,379,195,184
1985-1986,186380,Rutgers University-New Brunswick,Mathematics,27',Bachelor's degrees,80,42,38
1985-1986,186380,Rutgers University-New Brunswick,Renewable Natural Resources,3',Bachelor's degrees,19,13,6
