Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Computer and Information Sciences,'11',42,37,5,37,34,3,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Health Professions and Related Sciences,'51',58,5,53,54,3,51,1,1,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Psychology,'42',88,27,61,77,23,54,1,0,1,5,3,2,0,0,0,0,0,0,5,1,4,0,0,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Education,'13',332,90,242,318,85,233,2,1,1,5,3,2,0,0,0,4,1,3,3,0,3,0,0,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Foreign Languages and Literatures,'16',32,6,26,27,5,22,0,0,0,3,1,2,0,0,0,0,0,0,1,0,1,1,0,1
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Philosophy and Religion,'38',3,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Agricultural Business and Production,'01',135,104,31,134,103,31,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,English Language and Literature/Letters,'23',35,10,25,34,10,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Engineering,'14',279,229,50,260,212,48,3,2,1,4,4,0,3,2,1,1,1,0,2,2,0,6,6,0
2001-2002,155399,Kansas State University,Bachelor's degree,First major,Visual and Performing Arts,'50',107,47,60,96,38,58,2,2,0,2,2,0,2,2,0,1,1,0,3,2,1,1,0,1
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Social Sciences and History,'45',333,166,167,260,131,129,42,15,27,12,6,6,3,3,0,4,4,0,8,6,2,4,1,3
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Architecture and Related Programs,'04',94,44,50,77,37,40,0,0,0,6,2,4,1,0,1,3,3,0,4,1,3,3,1,2
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Mathematics,'27',28,14,14,23,11,12,3,1,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Foreign Languages and Literatures,'16',33,11,22,27,10,17,4,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Physical Sciences,'40',36,21,15,32,19,13,1,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
2001-2002,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Liberal Arts and Studies- General Sciences and Humanities,'24',225,102,123,193,91,102,19,6,13,2,0,2,6,2,4,0,0,0,3,1,2,2,2,0
