Year,unitid,Institution_Name,Award_Level,Major,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.AI,T.AI.M,T.AI.F,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.F,T.C,T.C.M,T.C.F,T.AS,T.AS.M,T.AS.W,T.PI,T.PI.M,T.PI.W,T.MIX,T.MIX.M,T.MIX.W,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.W
2007-2008,139959,University of Georgia,Bachelor's degree,First major,Computer and information sciences and support services.,'11',31,29,2,0,0,0,0,0,0,2,1,1,0,0,0,29,28,1,,,,,,,,,,0,0,0,0,0,0
2007-2008,243744,Stanford University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',40,15,25,0,0,0,7,1,6,2,1,1,4,3,1,24,9,15,,,,,,,,,,2,1,1,1,0,1
2007-2008,100751,The University of Alabama,Bachelor's degree,First major,Computer and information sciences and support services.,'11',13,10,3,0,0,0,0,0,0,2,1,1,0,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2007-2008,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Physical sciences.,'40',97,70,27,0,0,0,4,0,4,4,4,0,0,0,0,84,64,20,,,,,,,,,,4,2,2,1,0,1
2007-2008,131496,Georgetown University,Bachelor's degree,First major,Philosophy and religious studies.,'38',30,17,13,0,0,0,2,1,1,4,1,3,1,0,1,20,13,7,,,,,,,,,,2,2,0,1,0,1
2007-2008,135726,University of Miami,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',15,4,11,0,0,0,2,1,1,0,0,0,4,0,4,9,3,6,,,,,,,,,,0,0,0,0,0,0
2007-2008,157289,University of Louisville,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',160,78,82,1,1,0,0,0,0,21,11,10,4,2,2,128,62,66,,,,,,,,,,1,1,0,5,1,4
2007-2008,230728,Utah State University,Bachelor's degree,First major,Legal professions and studies.,'22',19,15,4,0,0,0,0,0,0,0,0,0,0,0,0,18,14,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2007-2008,139959,University of Georgia,Bachelor's degree,First major,Architecture and related services.,'04',73,51,22,1,0,1,1,0,1,1,1,0,0,0,0,66,48,18,,,,,,,,,,3,1,2,1,1,0
2007-2008,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Social sciences.,'45',898,523,375,0,0,0,200,110,90,85,43,42,74,35,39,485,300,185,,,,,,,,,,36,26,10,18,9,9
2007-2008,209542,Oregon State University,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',153,82,71,6,2,4,9,4,5,1,0,1,8,7,1,118,64,54,,,,,,,,,,8,3,5,3,2,1
2007-2008,155399,Kansas State University,Bachelor's degree,First major,Visual and performing arts.,'50',120,42,78,1,0,1,6,1,5,2,1,1,4,2,2,101,33,68,,,,,,,,,,6,5,1,0,0,0
2007-2008,209551,University of Oregon,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',14,1,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,,,,,,,,,,4,1,3,0,0,0
2007-2008,134130,University of Florida,Bachelor's degree,First major,Engineering technologies/technicians.,'15',138,121,17,0,0,0,0,0,0,3,2,1,10,7,3,123,110,13,,,,,,,,,,2,2,0,0,0,0
2007-2008,135726,University of Miami,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',47,18,29,0,0,0,11,8,3,1,1,0,11,3,8,21,6,15,,,,,,,,,,2,0,2,1,0,1
2007-2008,134097,Florida State University,Bachelor's degree,First major,Physical sciences.,'40',98,68,30,0,0,0,3,2,1,8,5,3,14,8,6,70,50,20,,,,,,,,,,3,3,0,0,0,0
2007-2008,207500,University of Oklahoma Norman Campus,Bachelor's degree,First major,Social sciences.,'45',419,242,177,33,18,15,12,5,7,31,15,16,14,6,8,322,193,129,,,,,,,,,,0,0,0,7,5,2
2007-2008,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Public administration and social service professions.,'44',75,14,61,1,0,1,1,0,1,11,2,9,1,0,1,60,11,49,,,,,,,,,,1,1,0,0,0,0
2007-2008,134130,University of Florida,Bachelor's degree,First major,Social sciences.,'45',1192,608,584,6,3,3,76,36,40,98,37,61,186,89,97,791,424,367,,,,,,,,,,28,17,11,7,2,5
2007-2008,228778,The University of Texas at Austin,Bachelor's degree,First major,Social sciences.,'45',1134,623,511,5,4,1,149,84,65,32,17,15,199,102,97,711,397,314,,,,,,,,,,1,1,0,37,18,19
2007-2008,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',25,0,25,0,0,0,0,0,0,1,0,1,1,0,1,23,0,23,,,,,,,,,,0,0,0,0,0,0
2007-2008,228723,Texas A & M University-College Station,Bachelor's degree,First major,Biological and biomedical sciences.,'26',751,296,455,4,0,4,73,26,47,16,4,12,91,41,50,559,223,336,,,,,,,,,,2,1,1,6,1,5
2007-2008,142115,Boise State University,Bachelor's degree,First major,Physical sciences.,'40',12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,,,,,,,,,,1,1,0,1,1,0
2007-2008,152080,University of Notre Dame,Bachelor's degree,First major,History,'54',84,52,32,0,0,0,1,0,1,2,1,1,3,1,2,76,49,27,,,,,,,,,,0,0,0,2,1,1
2007-2008,209551,University of Oregon,Bachelor's degree,First major,Computer and information sciences and support services.,'11',22,22,0,1,1,0,3,3,0,0,0,0,0,0,0,14,14,0,,,,,,,,,,1,1,0,3,3,0
2007-2008,199120,University of North Carolina at Chapel Hill,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',17,1,16,0,0,0,6,0,6,0,0,0,0,0,0,10,1,9,,,,,,,,,,1,0,1,0,0,0
2007-2008,123961,University of Southern California,Bachelor's degree,First major,Legal professions and studies.,'22',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0
2007-2008,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Mathematics and statistics.,'27',55,40,15,0,0,0,3,3,0,2,2,0,2,2,0,46,31,15,,,,,,,,,,2,2,0,0,0,0
2007-2008,217882,Clemson University,Bachelor's degree,First major,Physical sciences.,'40',32,25,7,0,0,0,2,1,1,2,0,2,0,0,0,25,21,4,,,,,,,,,,3,3,0,0,0,0
2007-2008,131496,Georgetown University,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',130,15,115,1,0,1,9,2,7,7,1,6,6,2,4,87,7,80,,,,,,,,,,17,3,14,3,0,3
2007-2008,100751,The University of Alabama,Bachelor's degree,First major,History,'54',79,55,24,2,1,1,0,0,0,7,4,3,0,0,0,70,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008,204796,Ohio State University-Main Campus,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',29,13,16,0,0,0,0,0,0,0,0,0,2,0,2,26,12,14,,,,,,,,,,1,1,0,0,0,0
2007-2008,100751,The University of Alabama,Bachelor's degree,First major,Mathematics and statistics.,'27',4,2,2,0,0,0,1,0,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-2008,230728,Utah State University,Bachelor's degree,First major,English language and literature/letters.,'23',106,39,67,0,0,0,0,0,0,0,0,0,2,1,1,99,34,65,0,0,0,0,0,0,0,0,0,4,3,1,1,1,0
2007-2008,209542,Oregon State University,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',137,47,90,2,1,1,4,3,1,0,0,0,10,0,10,109,37,72,,,,,,,,,,12,6,6,0,0,0
2007-2008,221999,Vanderbilt University,Bachelor's degree,First major,Public administration and social service professions.,'44',17,7,10,0,0,0,0,0,0,0,0,0,1,0,1,16,7,9,,,,,,,,,,0,0,0,0,0,0
2007-2008,199120,University of North Carolina at Chapel Hill,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',117,30,87,1,0,1,4,1,3,9,2,7,6,2,4,92,25,67,,,,,,,,,,5,0,5,0,0,0
2007-2008,122755,San Jose State University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',119,103,16,0,0,0,59,48,11,0,0,0,4,4,0,24,22,2,,,,,,,,,,14,14,0,18,15,3
2007-2008,170976,University of Michigan-Ann Arbor,Bachelor's degree,First major,Education.,'13',123,33,90,1,0,1,6,1,5,6,1,5,4,1,3,100,26,74,,,,,,,,,,6,4,2,0,0,0
2007-2008,204796,Ohio State University-Main Campus,Bachelor's degree,First major,English language and literature/letters.,'23',290,134,156,0,0,0,11,6,5,17,8,9,10,5,5,238,108,130,,,,,,,,,,14,7,7,0,0,0
2007-2008,230728,Utah State University,Bachelor's degree,First major,Natural resources and conservation.,'03',14,11,3,1,0,1,0,0,0,0,0,0,0,0,0,12,10,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2007-2008,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',1119,629,490,94,46,48,33,18,15,38,23,15,33,20,13,844,488,356,,,,,,,,,,0,0,0,77,34,43
2007-2008,181464,University of Nebraska-Lincoln,Bachelor's degree,First major,Health professions and related clinical sciences.,'51',52,12,40,0,0,0,0,0,0,1,1,0,1,0,1,47,11,36,,,,,,,,,,3,0,3,0,0,0
2007-2008,209542,Oregon State University,Bachelor's degree,First major,Psychology.,'42',113,34,79,3,1,2,5,0,5,1,1,0,6,4,2,92,27,65,,,,,,,,,,4,1,3,2,0,2
2007-2008,157289,University of Louisville,Bachelor's degree,First major,Physical sciences.,'40',32,21,11,0,0,0,2,2,0,3,0,3,1,1,0,26,18,8,,,,,,,,,,0,0,0,0,0,0
2007-2008,142115,Boise State University,Bachelor's degree,First major,Education.,'13',195,55,140,1,0,1,4,1,3,2,0,2,12,2,10,165,49,116,,,,,,,,,,9,3,6,2,0,2
2007-2008,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Computer and information sciences and support services.,'11',28,24,4,0,0,0,0,0,0,1,1,0,0,0,0,25,21,4,,,,,,,,,,0,0,0,2,2,0
2007-2008,228246,Southern Methodist University,Bachelor's degree,First major,Philosophy and religious studies.,'38',12,7,5,0,0,0,0,0,0,0,0,0,1,0,1,11,7,4,,,,,,,,,,0,0,0,0,0,0
2007-2008,142115,Boise State University,Bachelor's degree,First major,Mathematics and statistics.,'27',6,5,1,0,0,0,0,0,0,0,0,0,2,2,0,3,3,0,,,,,,,,,,1,0,1,0,0,0
2007-2008,139959,University of Georgia,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',17,4,13,0,0,0,1,0,1,4,2,2,1,0,1,11,2,9,,,,,,,,,,0,0,0,0,0,0
2007-2008,170976,University of Michigan-Ann Arbor,Bachelor's degree,First major,Psychology.,'42',700,172,528,4,1,3,111,28,83,59,20,39,27,13,14,448,98,350,,,,,,,,,,32,9,23,19,3,16
2007-2008,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Architecture and related services.,'04',102,50,52,0,0,0,2,1,1,6,3,3,0,0,0,89,46,43,,,,,,,,,,3,0,3,2,0,2
2007-2008,230728,Utah State University,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',90,33,57,0,0,0,1,1,0,0,0,0,1,0,1,84,31,53,0,0,0,0,0,0,0,0,0,3,0,3,1,1,0
2007-2008,218663,University of South Carolina-Columbia,Bachelor's degree,First major,Visual and performing arts.,'50',256,147,109,0,0,0,2,0,2,30,18,12,1,1,0,188,106,82,,,,,,,,,,35,22,13,0,0,0
2007-2008,217882,Clemson University,Bachelor's degree,First major,Agriculture- agriculture operations- and related sciences.,'01',157,99,58,0,0,0,0,0,0,2,2,0,3,1,2,136,86,50,,,,,,,,,,16,10,6,0,0,0
2007-2008,230728,Utah State University,Bachelor's degree,First major,Family and consumer sciences/human sciences.,'19',141,14,127,0,0,0,0,0,0,0,0,0,5,1,4,135,13,122,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2007-2008,142115,Boise State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',32,12,20,1,1,0,0,0,0,0,0,0,6,0,6,21,9,12,,,,,,,,,,3,2,1,1,0,1
2007-2008,186380,Rutgers University-New Brunswick,Bachelor's degree,First major,Biological and biomedical sciences.,'26',600,249,351,1,1,0,259,109,150,51,15,36,34,11,23,202,92,110,,,,,,,,,,30,13,17,23,8,15
2007-2008,155399,Kansas State University,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',142,68,74,0,0,0,0,0,0,2,0,2,4,3,1,131,63,68,,,,,,,,,,5,2,3,0,0,0
2007-2008,228246,Southern Methodist University,Bachelor's degree,First major,Engineering technologies/technicians.,'15',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0
2007-2008,123961,University of Southern California,Bachelor's degree,First major,Business- management- marketing- and related support services.,'52',1213,678,535,6,3,3,308,146,162,43,22,21,119,76,43,504,314,190,,,,,,,,,,14,12,2,219,105,114
2007-2008,228778,The University of Texas at Austin,Bachelor's degree,First major,Liberal arts and sciences- general studies and humanities.,'24',167,82,85,0,0,0,41,15,26,2,2,0,5,3,2,117,60,57,,,,,,,,,,2,2,0,0,0,0
2007-2008,157289,University of Louisville,Bachelor's degree,First major,Psychology.,'42',182,41,141,1,0,1,6,0,6,29,5,24,4,1,3,139,34,105,,,,,,,,,,2,1,1,1,0,1
2007-2008,131496,Georgetown University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',15,13,2,0,0,0,0,0,0,3,3,0,1,1,0,10,8,2,,,,,,,,,,0,0,0,1,1,0
2007-2008,181464,University of Nebraska-Lincoln,Bachelor's degree,First major,Multi/interdisciplinary studies.,'30',3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,,,,,,,,,,1,1,0,0,0,0
2007-2008,218663,University of South Carolina-Columbia,Bachelor's degree,First major,History,'54',117,88,29,0,0,0,1,0,1,9,5,4,0,0,0,89,69,20,,,,,,,,,,17,14,3,1,0,1
2007-2008,218663,University of South Carolina-Columbia,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',211,97,114,0,0,0,3,2,1,36,12,24,2,0,2,148,70,78,,,,,,,,,,20,13,7,2,0,2
2007-2008,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,First major,Communication- journalism- and related programs.,'09',253,63,190,1,0,1,1,0,1,23,7,16,3,0,3,218,55,163,,,,,,,,,,4,0,4,3,1,2
2007-2008,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,Mathematics and statistics.,'27',20,11,9,1,0,1,1,0,1,0,0,0,1,1,0,16,9,7,,,,,,,,,,0,0,0,1,1,0
2007-2008,147767,Northwestern University,Bachelor's degree,First major,Area- ethnic- cultural- and gender studies.,'05',15,3,12,0,0,0,1,0,1,6,1,5,0,0,0,8,2,6,,,,,,,,,,0,0,0,0,0,0
2007-2008,170976,University of Michigan-Ann Arbor,Bachelor's degree,First major,Architecture and related services.,'04',90,47,43,2,1,1,14,5,9,6,4,2,6,3,3,51,27,24,,,,,,,,,,5,4,1,6,3,3
2007-2008,139959,University of Georgia,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',252,73,179,2,1,1,11,3,8,12,0,12,13,3,10,204,65,139,,,,,,,,,,9,1,8,1,0,1
2007-2008,228778,The University of Texas at Austin,Bachelor's degree,First major,History,'54',251,135,116,1,1,0,11,4,7,10,3,7,28,14,14,197,112,85,,,,,,,,,,3,0,3,1,1,0
2007-2008,135726,University of Miami,Bachelor's degree,First major,Education.,'13',37,4,33,0,0,0,1,0,1,2,0,2,8,2,6,24,2,22,,,,,,,,,,0,0,0,2,0,2
2007-2008,230728,Utah State University,Bachelor's degree,First major,Foreign languages- literatures- and linguistics.,'16',34,19,15,0,0,0,0,0,0,0,0,0,3,0,3,30,19,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2007-2008,243744,Stanford University,Bachelor's degree,First major,Engineering technologies/technicians.,'15',54,43,11,1,0,1,12,10,2,7,5,2,10,9,1,17,14,3,,,,,,,,,,2,2,0,5,3,2
2007-2008,230728,Utah State University,Bachelor's degree,First major,Architecture and related services.,'04',29,23,6,0,0,0,1,1,0,0,0,0,1,1,0,25,19,6,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
2007-2008,230728,Utah State University,Bachelor's degree,First major,Biological and biomedical sciences.,'26',95,66,29,0,0,0,1,0,1,0,0,0,0,0,0,84,60,24,0,0,0,0,0,0,0,0,0,6,4,2,4,2,2
2007-2008,134130,University of Florida,Bachelor's degree,First major,Parks- recreation- leisure- and fitness studies.,'31',412,168,244,1,0,1,19,12,7,54,20,34,35,15,20,295,119,176,,,,,,,,,,5,2,3,3,0,3
2007-2008,207388,Oklahoma State University-Main Campus,Bachelor's degree,First major,English language and literature/letters.,'23',66,22,44,8,3,5,2,1,1,2,0,2,0,0,0,53,18,35,,,,,,,,,,0,0,0,1,0,1
2007-2008,152080,University of Notre Dame,Bachelor's degree,First major,Computer and information sciences and support services.,'11',22,19,3,0,0,0,2,1,1,1,0,1,1,1,0,17,16,1,,,,,,,,,,0,0,0,1,1,0
2007-2008,209542,Oregon State University,Bachelor's degree,First major,Computer and information sciences and support services.,'11',67,65,2,0,0,0,5,5,0,0,0,0,7,6,1,48,47,1,,,,,,,,,,5,5,0,2,2,0
