Year,unitid,Institution_Name,Award_Level,CIP_Classificaiton,cipcode,Total,T.M,T.F,T.C,T.C.M,T.C.F,T.AA,T.AA.M,T.AA.F,T.H,T.H.M,T.H.W,T.AS/PI,T.AS/PI.M,T.AS/PI.F,T.AI,T.AI.M,T.AI.F,T.UNK,T.UNK.M,T.UNK.W,T.NON,T.NON.M,T.NON.F
1997-1998,131496,Georgetown University,Bachelor's degree,Visual and Performing Arts,'50',16,3,13,11,3,8,1,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
1997-1998,155399,Kansas State University,Bachelor's degree,Agricultural Business and Production,'01',144,119,25,138,116,22,0,0,0,1,1,0,2,1,1,1,1,0,0,0,0,2,0,2
1997-1998,155399,Kansas State University,Bachelor's degree,Agricultural Sciences,'02',200,130,70,194,125,69,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,1
1997-1998,155399,Kansas State University,Bachelor's degree,Architecture and Related Programs,'04',103,77,26,94,69,25,1,0,1,3,3,0,2,2,0,1,1,0,0,0,0,2,2,0
1997-1998,155399,Kansas State University,Bachelor's degree,Biological Science/Life Sciences,'26',176,87,89,158,83,75,1,0,1,6,2,4,7,1,6,3,1,2,0,0,0,1,0,1
1997-1998,155399,Kansas State University,Bachelor's degree,Business Management and Administrative Services,'52',569,322,247,528,302,226,14,6,8,10,5,5,10,5,5,0,0,0,0,0,0,7,4,3
1997-1998,155399,Kansas State University,Bachelor's degree,Communications,'09',161,60,101,148,59,89,6,0,6,2,0,2,2,0,2,1,0,1,0,0,0,2,1,1
1997-1998,155399,Kansas State University,Bachelor's degree,Computer and Information Sciences,'11',34,33,1,31,30,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0
1997-1998,155399,Kansas State University,Bachelor's degree,Education,'13',360,107,253,346,98,248,3,3,0,4,1,3,2,2,0,3,1,2,1,1,0,1,1,0
1997-1998,155399,Kansas State University,Bachelor's degree,Engineering,'14',293,248,45,253,215,38,5,5,0,8,7,1,12,8,4,1,1,0,0,0,0,14,12,2
1997-1998,155399,Kansas State University,Bachelor's degree,Engineering-Related Technologies,'15',76,72,4,73,69,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1997-1998,155399,Kansas State University,Bachelor's degree,English Language and Literature/Letters,'23',30,11,19,27,11,16,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
1997-1998,155399,Kansas State University,Bachelor's degree,Foreign Languages and Literatures,'16',22,7,15,18,5,13,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,155399,Kansas State University,Bachelor's degree,Health Professions and Related Sciences,'51',127,32,95,120,30,90,0,0,0,1,0,1,6,2,4,0,0,0,0,0,0,0,0,0
1997-1998,155399,Kansas State University,Bachelor's degree,Home Economics- General,'19',174,11,163,166,10,156,2,0,2,1,1,0,2,0,2,0,0,0,0,0,0,3,0,3
1997-1998,155399,Kansas State University,Bachelor's degree,Liberal Arts and Studies- General Sciences and Humanities,'24',3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,155399,Kansas State University,Bachelor's degree,Mathematics,'27',22,14,8,19,13,6,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
1997-1998,155399,Kansas State University,Bachelor's degree,Parks- Recreation- Leisure and Fitness Studies,'31',80,49,31,73,46,27,4,2,2,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
1997-1998,155399,Kansas State University,Bachelor's degree,Philosophy and Religion,'38',5,1,4,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,155399,Kansas State University,Bachelor's degree,Physical Sciences,'40',26,15,11,24,13,11,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1997-1998,155399,Kansas State University,Bachelor's degree,Psychology,'42',67,18,49,61,17,44,1,0,1,3,0,3,1,1,0,0,0,0,0,0,0,1,0,1
1997-1998,155399,Kansas State University,Bachelor's degree,Public Administration and Services,'44',36,3,33,33,2,31,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1997-1998,155399,Kansas State University,Bachelor's degree,Social Sciences and History,'45',292,159,133,243,131,112,36,18,18,7,5,2,2,2,0,1,0,1,0,0,0,3,3,0
1997-1998,155399,Kansas State University,Bachelor's degree,Transporation and Material Moving Workers,'49',11,9,2,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1997-1998,155399,Kansas State University,Bachelor's degree,Visual and Performing Arts,'50',93,28,65,85,24,61,4,3,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0
1997-1998,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Business and Production,'01',16,11,5,11,7,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,1
1997-1998,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Agricultural Sciences,'02',79,43,36,53,27,26,3,1,2,8,6,2,0,0,0,1,1,0,1,1,0,13,7,6
1997-1998,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Architecture and Related Programs,'04',87,46,41,71,36,35,2,2,0,4,3,1,2,2,0,0,0,0,1,0,1,7,3,4
1997-1998,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Area- Ethnic and Cultural Studies,'05',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1997-1998,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Biological Science/Life Sciences,'26',276,145,131,219,124,95,15,6,9,3,1,2,30,13,17,1,0,1,2,0,2,6,1,5
1997-1998,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Business Management and Administrative Services,'52',532,315,217,411,247,164,41,18,23,20,13,7,19,12,7,1,0,1,8,7,1,32,18,14
1997-1998,159391,Louisiana State University and Agricultural & Mechanical College,Bachelor's degree,Communications,'09',129,41,88,101,34,67,17,6,11,2,1,1,4,0,4,0,0,0,2,0,2,3,0,3
