"","PlayerName","PlayerTrueName","League","TeamName3","Season","Position","Comment","StartDate","EndDate","Source","Season.Type"
"203","S. O'Neal","O'Neal, Shaquille","NBA","BOS","2010-2011",5.01,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"204","Wade","Wade, Dwyane","NBA","MIA","2010-2011",2,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"209","Miller","Miller, Mike","NBA","MIA","2010-2011",2.51,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"211","Kapono","Kapono, Jason","NBA","PHI","2010-2011",2.01,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"212","D. Jones","Jones, Dahntay","NBA","IND","2010-2011",2.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"214","D. Wright","Wright, Dorell","NBA","GSW","2010-2011",2.5,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"215","Barron","Barron, Earl","NBA","POR","2010-2011",4.98,"20110412MEMPOR","2011-04-12","2011-07-01","Basketball Value","Regular Season"
"215","Barron","Barron, Earl","NBA","PHX","2010-2011",4.98,"20101117PHXMIA","2010-11-17","2010-12-21","Basketball Value","Regular Season"
"215","Barron","Barron, Earl","NBA","MIL","2010-2011",4.98,"20110301DETMIL","2011-03-01","2011-04-01","Basketball Value","Regular Season"
"218","Warrick","Warrick, Hakim","NBA","PHX","2010-2011",3.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"220","Krstic","Krstic, Nenad","NBA","OKC","2010-2011",5,"SeasonStart","2010-10-25","2011-02-24","Basketball Value","Regular Season"
"220","Krstic","Krstic, Nenad","NBA","BOS","2010-2011",5,"20110226BOSLAC","2011-02-24","2011-07-01","Basketball Value","Regular Season"
"221","Jefferson","Jefferson, Richard","NBA","SAS","2010-2011",3,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"222","Kidd","Kidd, Jason","NBA","DAL","2010-2011",1,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"223","Collins","Collins, Jason","NBA","ATL","2010-2011",4.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"224","Carter","Carter, Vince","NBA","PHX","2010-2011",2,"20101229PHIPHX","2010-12-19","2011-07-01","Basketball Value","Regular Season"
"224","Carter","Carter, Vince","NBA","ORL","2010-2011",2,"SeasonStart","2010-10-25","2010-12-19","Basketball Value","Regular Season"
"235","Curry","Curry, Eddy","NBA","NYK","2010-2011",4.99,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"237","Richardson","Richardson, Quentin","NBA","ORL","2010-2011",3,"SeasonStart","2010-10-25","2010-12-19","Basketball Value","Regular Season"
"237","Q. Richardson","Richardson, Quentin","NBA","ORL","2010-2011",3,"SeasonStart","2010-12-19","2011-07-01","Basketball Value","Regular Season"
"239","West","West, Delonte","NBA","BOS","2010-2011",1.51,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"240","Pierce","Pierce, Paul","NBA","BOS","2010-2011",3,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
"241","Barnes","Barnes, Matt","NBA","LAL","2010-2011",2.98,"SeasonStart","2010-10-25","2011-07-01","Basketball Value","Regular Season"
