ID_Sport,ID_School,Season,Number,Player,First_Name,Last_Name,Position,ID_Position,Height,Height_Inches,Weight,Year,Hometown,City,State,Prior_School,Player_URL
ND,FBALL,2006-2007,34,James Aldridge,Aldridge,James,Running Back,RB,6'0,72,209,FR,"Crown Point, IN",Crown Point,IN,Merrillville,http://www.und.com/sports/m-footbl/mtt/aldridge_james00.html
ND,FBALL,2006-2007,23,Chase Anastasio,Anastasio,Chase,Wide Receiver,WR,6'2,74,201,SR,"Burke, VA",Burke,VA,Robinson,http://www.und.com/sports/m-footbl/mtt/anastasio_chase00.html
ND,FBALL,2006-2007,43,Mike Anello,Anello,Mike,Defensive Back,DB,5'11,71,180,SO,"Orland Park, IL",Orland Park,IL,Carl Sandburg,http://www.und.com/sports/m-footbl/mtt/anello_mike00.html
ND,FBALL,2006-2007,49,Matt Augustyn,Augustyn,Matt,Running back,RB,6'3,75,220,SR,"Chevy Chase, MD",Chevy Chase,MD,Our Lady of Good Counsel,http://www.und.com/sports/m-footbl/mtt/augustyn_matt00.html
ND,FBALL,2006-2007,56,Nick Borseti,Borseti,Nick,Linebacker,LB,6'4,76,235,SR,"Saugus, MA",Saugus,MA,St. John's Prep,http://www.und.com/sports/m-footbl/mtt/borseti_nick00.html
ND,FBALL,2006-2007,81,Darrin Bragg,Bragg,Darrin,Wide Receiver,WR,6'1,73,192,JR,"San Jose, CA",San Jose,CA,Bellarmine Prep,http://www.und.com/sports/m-footbl/mtt/bragg_darrin00.html
ND,FBALL,2006-2007,52,Joe Brockington,Brockington,Joe,Linebacker,LB,6'1,73,220,SR,"Palmyra, PA",Palmyra,PA,Palmyra,http://www.und.com/sports/m-footbl/mtt/brockington_joe00.html
ND,FBALL,2006-2007,39,Kevin Brooks,Brooks,Kevin,Tight End,TE,6'2,74,230,FR,"Thousand Oaks, CA",Thousand Oaks,CA,Crespi Carmelite,http://www.und.com/sports/m-footbl/mtt/brooks_kevin00.html
ND,FBALL,2006-2007,94,Justin Brown,Brown,Justin,Defensive Line,DL,6'3,75,254,JR,"Clinton, MD",Clinton,MD,Bishop McNamara,http://www.und.com/sports/m-footbl/mtt/brown_justin00.html
ND,FBALL,2006-2007,31,Sergio Brown,Brown,Sergio,Defensive Back,DB,6'1,73,184,FR,"Maywood, IL",Maywood,IL,Proviso East,http://www.und.com/sports/m-footbl/mtt/brown_sergio00.html
ND,FBALL,2006-2007,27,David Bruton,Bruton,David,Defensive Back,DB,6'2,74,192,SO,"Miamisburg, OH",Miamisburg,OH,Miamisburg,http://www.und.com/sports/m-footbl/mtt/bruton_david00.html
ND,FBALL,2006-2007,39,Ryan Burkhart,Burkhart,Ryan,Kicker,K,5'11,71,185,FR,"Wakarusa, IN",Wakarusa,IN,Northwood,http://www.und.com/sports/m-footbl/mtt/burkhart_ryan00.html
ND,FBALL,2006-2007,7,Craig Cardillo,Cardillo,Craig,Wide Receiver,WR,6'0,72,170,SR,"Hauppauge, NY",Hauppauge,NY,Hauppauge,http://www.und.com/sports/m-footbl/mtt/cardillo_craig00.html
ND,FBALL,2006-2007,89,John Carlson,Carlson,John,Tight End,TE,6'6,78,250,SR,"Litchfield, MN",Litchfield,MN,Litchfield,http://www.und.com/sports/m-footbl/mtt/carlson_john00.html
ND,FBALL,2006-2007,73,Matt Carufel,Carufel,Matt,Offensive Line,OL,6'5,77,288,FR,"Forest Lake, MN",Forest Lake,MN,Cretin-Derham Hall,http://www.und.com/sports/m-footbl/mtt/carufel_matt00.html
ND,FBALL,2006-2007,46,Kyle Charters,Charters,Kyle,Linebacker,LB,5'11,71,195,JR,"Rancho Santa Margarita, CA",Rancho Santa Margarita,CA,Trabuco Hills,http://www.und.com/sports/m-footbl/mtt/charters_kyle00.html
ND,FBALL,2006-2007,64,Dan Chervanick,Chervanick,Dan,Offensive Line,OL,6'1,73,255,SR,"Leesport, PA",Leesport,PA,Holy Name,http://www.und.com/sports/m-footbl/mtt/chervanick_dan00.html
ND,FBALL,2006-2007,42,David Costanzo,Costanzo,David,Wide Receiver,WR,5'9,69,170,SO,"El Paso, TX",El Paso,TX,Chapin,http://www.und.com/sports/m-footbl/mtt/costanzo_david00.html
ND,FBALL,2006-2007,40,Maurice Crum Jr.,Crum Jr.,Maurice,Linebacker,LB,6'0,72,220,JR,"Riverview, FL",Riverview,FL,Tamba Bay Tech,http://www.und.com/sports/m-footbl/mtt/crumjr_maurice00.html
ND,FBALL,2006-2007,60,Casey Cullen,Cullen,Casey,Defensive Line,DL,6'1,73,234,SR,"Victoria, TX",Victoria,TX,St. Joseph,http://www.und.com/sports/m-footbl/mtt/cullen_casey00.html
ND,FBALL,2006-2007,36,Dex Cure,Cure,Dex,Running Back,RB,6'1,73,215,FR,"Wray, CO",Wray,CO,Wray,http://www.und.com/sports/m-footbl/mtt/cure_dex00.html
