ID_Sport_Sponsorship,Governing_Body,Sponsorship_Type,Period,Sport_Sponsor,Company,Company_Brand,Event,Sport,Contract_Type,Value,Value_Type,Detail,Franchise,Sponsorship
230,NASCAR,Official,2012,Coors Light,Molson Coors,Coors Light,,,,,,,,
231,NASCAR,Official,2012,DirecTV,DirecTV,,,,,,,,,
232,NASCAR,Official,2012,Dodge,Chrysler LLC,Dodge,,,,,,,,
233,NASCAR,Official,2012,Drive4COPD,Drive4COPD,,,,,,,,,
234,NASCAR,Official,2012,DuPont,DuPont,,,,,,,,,
235,NASCAR,Official,2012,Exide,Exide,,,,,,,,,
236,NASCAR,Official,2012,Featherlite Coach,Featherlite,Featherlite Coach,,,,,,,,
237,NASCAR,Official,2012,Featherlite Trailers,Featherlite,Featherlite Trailers,,,,,,,,
238,NASCAR,Official,2012,Ford,Ford,,,,,,,,,
239,NASCAR,Official,2012,Freescale,Freescale,,,,,,,,,
240,NASCAR,Official,2012,Freightliner Trucks,Freightliner Trucks,,,,,,,,,
241,NASCAR,Official,2012,Growth Energy,Growth Energy,,,,,,,,,
242,NASCAR,Official,2012,Gillette,Proctor  Gamble,Gillette,,,,,,,,
243,NASCAR,Official,2012,Goodyear,Goodyear,,,,,,,,,
244,NASCAR,Official,2012,Head  Shoulders,Proctor  Gamble,Head  Shoulders,,,,,,,,
245,NASCAR,Official,2012,Mars,Mars,,,,,,,,,
246,NASCAR,Official,2012,Mobil 1,Exxon Mobil,Mobil 1,,,,,,,,
247,NASCAR,Official,2012,McLaren,McLaren,,,,,,,,,
248,NASCAR,Official,2012,Nabisco,Kraft,Nabisco,,,,,,,,
249,NASCAR,Official,2012,National Corn Growers Assoc,National Corn Growers Assoc,,,,,,,,,
250,NASCAR,Official,2012,Nationwide Insurance,Nationwide Insurance,,,,,,,,,
251,NASCAR,Official,2012,Office Depot,Office Depot,,,,,,,,,
252,NASCAR,Official,2012,Old Spice,Proctor  Gamble,Old Spice,,,,,,,,
253,NASCAR,Official,2012,SafetyKleen,SafetyKleen,,,,,,,,,
254,NASCAR,Official,2012,Sirius XM Radio,Sirius XM Radio,,,,,,,,,
255,NASCAR,Official,2012,Sprint,Sprint,,,,,,,,,
256,NASCAR,Official,2012,Sunoco,Sunoco,,,,,,,,,
257,NASCAR,Official,2012,Toyota,Toyota,,,,,,,,,
258,NASCAR,Official,2012,Unilever,Unilever,,,,,,,,,
259,NASCAR,Official,2012,UPS,UPS,,,,,,,,,
260,NASCAR,Official,2012,USG,USG,,,,,,,,,
261,NASCAR,Official,2012,Visa,Visa,,,,,,,,,
262,NASCAR,Official,2012,K  N,K  N,,,,,,,,,
263,NASCAR,Official,2012,Whelen Engineering,Whelen Engineering,,,,,,,,,
264,NASCAR,Title,2012,Nationwide Insurance,Nationwide Insurance,,,,Jersey,10,Dollars_Millions,7 Year Deal Signed in 2007 Lasting Through 2014 Season,,
265,NBA,Official,1,Adidas,Adidas,,,,,,,,,
266,NBA,Official,1,AutoTradercom,AutoTradercom,,,,,,,,,
267,NBA,Official,1,Budweiser,AnheuserBusch,Budweiser,,,,,,,,
268,NBA,Official,1,BBVA,BBVA,,,,,,,,,
269,NBA,Official,1,Cisco,Cisco,,,,,,,,,
270,NBA,Official,1,Dasani,CocaCola Co,Dasani,,,,,,,,
271,NBA,Official,1,EA Sports,EA Sports,,,,,,,,,
272,NBA,Official,1,FedEx,FedEx,,,,,,,,,
273,NBA,Official,1,Gatorade,PepsiCo,Gatorade,,,,,,,,
274,NBA,Official,1,HewlettPackard,HewlettPackard,,,,,,,,,
275,NBA,Official,1,Haier,Haier,,,,,,,,,
276,NBA,Official,1,Kia Motors,Kia Motors,,,,,,,,,
277,NBA,Official,1,Lamasil,Novartis Pharmaceutical,Lamasil,,,,,,,,
278,NBA,Official,1,Lenovo,Lenovo,,,,,,,,,
279,NBA,Official,1,McDonalds,McDonalds,,,,,,,,,
280,NBA,Official,1,Nike,Nike,,,,,,,,,
281,NBA,Official,1,Minute Maid,CocaCola Co,Minute Maid,,,,,,,,
282,NBA,Official,1,Right Guard,Right Guard,,,,,,,,,
283,NBA,Official,1,Southwest Airlines,Southwest Airlines,,,,,,,,,
284,NBA,Official,1,Spaulding,Spaulding,,,,,,,,,
285,NBA,Official,1,Sprite,CocaCola Co,Sprite,,,,,,,,
286,NBA,Official,1,TMobile,TMobile,,,,,,,,,
287,NBA,Official,1,Toyota,Toyota,,,,,,,,,
288,NBA,Official,1,Wrigley,Wrigley,,,,,,,,,
