"","player","career","rookie_season","final_season","total_attempts","total_completions","total_passing_yards","total_touchdowns","total_games","total_seasons","player_sports_ref_url","player_sports_ref_gamelog_url"
"238","Joe Reed","1972-1979",1972,1979,513,225,2825,18,34,8,"http://www.pro-football-reference.com/players/R/ReedJo00.htm","http://www.pro-football-reference.com/players/R/ReedJo00/gamelog"
"460","Tyler Thigpen","2007-2012",2007,2012,509,275,3222,21,29,6,"http://www.pro-football-reference.com/players/T/ThigTy00.htm","http://www.pro-football-reference.com/players/T/ThigTy00/gamelog"
"442","Tom Tupa","1988-2004",1988,2004,505,259,3430,12,209,16,"http://www.pro-football-reference.com/players/T/TupaTo20.htm","http://www.pro-football-reference.com/players/T/TupaTo20/gamelog"
"457","Turk Schonert","1981-1989",1981,1989,505,311,3788,11,38,8,"http://www.pro-football-reference.com/players/S/SchoTu00.htm","http://www.pro-football-reference.com/players/S/SchoTu00/gamelog"
"6","Al Woodall","1969-1974",1969,1974,503,246,2970,18,31,5,"http://www.pro-football-reference.com/players/W/WoodAl00.htm","http://www.pro-football-reference.com/players/W/WoodAl00/gamelog"
"84","Chris Redman","2000-2011",2000,2011,502,286,3177,21,29,8,"http://www.pro-football-reference.com/players/R/RedmCh00.htm","http://www.pro-football-reference.com/players/R/RedmCh00/gamelog"
"92","Colin Kaepernick","2011-2013",2011,2013,501,301,4231,23,27,3,"http://www.pro-football-reference.com/players/K/KaepCo00.htm","http://www.pro-football-reference.com/players/K/KaepCo00/gamelog"
"46","Bobby Scott","1973-1981",1973,1981,500,237,2781,15,34,9,"http://www.pro-football-reference.com/players/S/ScotBo00.htm","http://www.pro-football-reference.com/players/S/ScotBo00/gamelog"
"8","Alex Van Pelt","1995-2003",1995,2003,487,266,3012,17,30,9,"http://www.pro-football-reference.com/players/V/VanPAl00.htm","http://www.pro-football-reference.com/players/V/VanPAl00/gamelog"
"37","Bob Gagliano","1982-1992",1982,1992,486,249,3431,17,30,6,"http://www.pro-football-reference.com/players/G/GaglBo00.htm","http://www.pro-football-reference.com/players/G/GaglBo00/gamelog"
"354","Ray Lucas","1997-2002",1997,2002,484,280,3039,18,37,6,"http://www.pro-football-reference.com/players/L/LucaRa00.htm","http://www.pro-football-reference.com/players/L/LucaRa00/gamelog"
"44","Bobby Hoying","1997-2000",1997,2000,472,252,2651,11,20,4,"http://www.pro-football-reference.com/players/H/HoyiBo00.htm","http://www.pro-football-reference.com/players/H/HoyiBo00/gamelog"
"106","Dan Orlovsky","2005-2012",2005,2012,472,276,2931,14,21,4,"http://www.pro-football-reference.com/players/O/OrloDa00.htm","http://www.pro-football-reference.com/players/O/OrloDa00/gamelog"
"131","Don Horn","1967-1973",1967,1973,465,232,3369,20,32,6,"http://www.pro-football-reference.com/players/H/HornDo00.htm","http://www.pro-football-reference.com/players/H/HornDo00/gamelog"
"371","Rusty Hilger","1985-1991",1985,1991,464,204,2584,11,22,5,"http://www.pro-football-reference.com/players/H/HilgRu00.htm","http://www.pro-football-reference.com/players/H/HilgRu00/gamelog"
"4","Akili Smith","1999-2002",1999,2002,461,215,2212,5,21,4,"http://www.pro-football-reference.com/players/S/SmitAk00.htm","http://www.pro-football-reference.com/players/S/SmitAk00/gamelog"
"147","Ed Luther","1980-1984",1980,1984,460,245,3187,12,26,5,"http://www.pro-football-reference.com/players/L/LuthEd00.htm","http://www.pro-football-reference.com/players/L/LuthEd00/gamelog"
