Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Hometown,City,State,High_School,Prior_College,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
6,DeAngelo Smith,http://www.gamecocksonline.com/sports/m-footbl/mtt/deangelo_smith_438065.html,WR,6/1/13,196,RS JR,"Kingsland, Ga.",Kingsland,GA,Camden County,,,,,University of South Carolina,2012-2013
9,Kwinton Smith,http://www.gamecocksonline.com/sports/m-footbl/mtt/kwinton_smith_793026.html,WR,6/4/13,206,FR,"Dillon, S.C.",Dillon,SC,Dillon,,,,,University of South Carolina,2012-2013
24,Quin Smith,http://www.gamecocksonline.com/sports/m-footbl/mtt/quin_smith_438038.html,LB,6/1/13,239,SR,"Lenoir, N.C.",Lenoir,NC,Hibriten,,,,,University of South Carolina,2012-2013
75,Will Sport,http://www.gamecocksonline.com/sports/m-footbl/mtt/will_sport_742758.html,OT,6/5/13,291,RS FR,"Milton, Fla.",Milton,FLA,Pace,,,,,University of South Carolina,2012-2013
16,Nick St. Germain,http://www.gamecocksonline.com/sports/m-footbl/mtt/nick_st_germain_793027.html,PK,5/9/13,182,FR,"Powder Springs, Ga.",Powder Springs,GA,McEachern,,,,,University of South Carolina,2012-2013
65,Brock Stadnik,http://www.gamecocksonline.com/sports/m-footbl/mtt/brock_stadnik_796985.html,OT,6/5/13,287,FR,"Greensboro, N.C.",Greensboro,NC,Western Guilford,,,,,University of South Carolina,2012-2013
54,Clayton Stadnik,http://www.gamecocksonline.com/sports/m-footbl/mtt/clayton_stadnik_796987.html,OC,6/3/13,265,FR,"Greensboro, N.C.",Greensboro,NC,Western Guilford,,,,,University of South Carolina,2012-2013
11,Seth Strickland,http://www.gamecocksonline.com/sports/m-footbl/mtt/seth_strickland_405355.html,QB,6/2/13,195,RS SR,"Laurens, S.C.",Laurens,SC,Laurens,,,,,University of South Carolina,2012-2013
97,J.T. Surratt,http://www.gamecocksonline.com/sports/m-footbl/mtt/jt_surratt_710266.html,DT,6/2/13,295,RS SO,"Winston-Salem, N.C.",Winston-Salem,NC,Parkland,,,,,University of South Carolina,2012-2013
45,Ty Sutherland,http://www.gamecocksonline.com/sports/m-footbl/mtt/ty_sutherland_796988.html,FB,5/10/13,220,RS FR,"Pendleton, S.C.",Pendleton,SC,Pendleton,,,,,University of South Carolina,2012-2013
90,Chaz Sutton,http://www.gamecocksonline.com/sports/m-footbl/mtt/chaz_sutton_405279.html,DE,6/5/13,248,RS JR,"Savannah, Ga.",Savannah,GA,Jenkins,Fork Union Military,,,,University of South Carolina,2012-2013
36,D.J. Swearinger,http://www.gamecocksonline.com/sports/m-footbl/mtt/dj_swearinger_438066.html,FS,6/1/00,210,SR,"Greenwood, S.C.",Greenwood,SC,Greenwood,,,,,University of South Carolina,2012-2013
98,Devin Taylor,http://www.gamecocksonline.com/sports/m-footbl/mtt/devin_taylor_361569.html,DE,6/8/13,267,RS SR,"Beaufort, S.C.",Beaufort,SC,Beaufort,,,,,University of South Carolina,2012-2013
17,Dylan Thompson,http://www.gamecocksonline.com/sports/m-footbl/mtt/dylan_thompson_710276.html,QB,6/3/13,212,RS SO,"Boiling Springs, S.C.",Boiling Springs,SC,Boiling Springs,,,,,University of South Carolina,2012-2013
51,Cody Waldrop,http://www.gamecocksonline.com/sports/m-footbl/mtt/cody_waldrop_793031.html,OG,6/2/13,300,FR,"Seffner, Fla.",Seffner,FLA,Armwood,,,,,University of South Carolina,2012-2013
95,Michael Washington,http://www.gamecocksonline.com/sports/m-footbl/mtt/michael_washington_796986.html,DE,6/3/13,228,FR,"Allendale, S.C.",Allendale,SC,Allendale-Fairfax,South Carolina State University,,,,University of South Carolina,2012-2013
85,Kane Whitehurst,http://www.gamecocksonline.com/sports/m-footbl/mtt/kane_whitehurst_818221.html,WR,5/11/13,170,RS FR,"Duluth, Ga.",Duluth,GA,Chattahoochee,Arkansas,,,,University of South Carolina,2012-2013
22,Brandon Wilds,http://www.gamecocksonline.com/sports/m-footbl/mtt/brandon_wilds_742769.html,TB,6/2/13,218,SO,"Blythewood, S.C.",Blythewood,SC,Blythewood,,,,,University of South Carolina,2012-2013
32,David Wilkins,http://www.gamecocksonline.com/sports/m-footbl/mtt/david_wilkins_811582.html,CB,6/1/13,180,RS SR,"Cowpens, S.C.",Cowpens,SC,Broome,,,,,University of South Carolina,2012-2013
12,Brison Williams,http://www.gamecocksonline.com/sports/m-footbl/mtt/brison_williams_710278.html,SS,5/11/13,205,SO,"Warner Robins, Ga.",Warner Robins,GA,Northside,Fork Union Military,,,,University of South Carolina,2012-2013
84,Mike Williamson,http://www.gamecocksonline.com/sports/m-footbl/mtt/mike_williamson_763541.html,P,6/1/13,190,RS JR,"Norway, S.C.",Norway,SC,Orangeburg Prep,Columbia University,,,,University of South Carolina,2012-2013
54,Shaq Wilson,http://www.gamecocksonline.com/sports/m-footbl/mtt/shaq_wilson_348102.html,LB,5/11/13,224,SR,"Jacksonville, Fla.",Jacksonville,FLA,First Coast,,,,,University of South Carolina,2012-2013
8,Adam Yates,http://www.gamecocksonline.com/sports/m-footbl/mtt/adam_yates_380578.html,PK,6/1/13,196,RS SR,"Sparks, MD",Sparks,MD,Hereford,,,,,University of South Carolina,2012-2013
77,Mason Zandi,http://www.gamecocksonline.com/sports/m-footbl/mtt/mason_zandi_793032.html,OT,6/9/13,266,FR,"Chapin, S.C.",Chapin,SC,Chapin,,,,,University of South Carolina,2012-2013
