Number,Player,PlayerBio_URL,Position,Height,Weight,Year,Eligibility,Hometown,City,State,High_School,ID_Player_Race,Formal_Stated_Major,College_Major_Group,DBPediaCollege_Name,Season
21,Evan Schroeder,http://www.gatorzone.com/football/bios.php?year=2012&player_id=319,DB,"5' 11""",182,RFR,HS,"New Smyrna Beach, FL",New Smyrna Beach,FL,New Smyrna Beach,,,,University of Florida,2012-2013
10,Valdez Showers,http://www.gatorzone.com/football/bios.php?year=2012&player_id=306,DB,"5' 11""",188,RFR,SQ,"Madison Heights, MICH",Madison Heights,MICH,Madison,,,,University of Florida,2012-2013
77,Ian Silberman,http://www.gatorzone.com/football/bios.php?year=2012&player_id=244,OL,"6' 5""",303,RSO,1L,"Orange Park, FL",Orange Park,FL,Fleming Island,,,,University of Florida,2012-2013
19,Caleb Sturgis,http://www.gatorzone.com/football/bios.php?year=2012&player_id=179,K,"5' 11""",184,RSR,4L,"St. Augustine, FL",St. Augustine,FL,St. Augustine,,,,University of Florida,2012-2013
18,Kent Taylor,http://www.gatorzone.com/football/bios.php?year=2012&player_id=351,TE,"6' 5""",223,FR,HS,"Land O'Lakes, FL",Land O'Lakes,FL,Land O'Lakes,,,,University of Florida,2012-2013
51,Michael Taylor,http://www.gatorzone.com/football/bios.php?year=2012&player_id=261,LB,"6' 0""",226,RSO,1L,"Atlanta, GA",Atlanta,GA,Westlake,,,,University of Florida,2012-2013
84,Colin Thompson,http://www.gatorzone.com/football/bios.php?year=2012&player_id=352,TE,"6' 4""",256,FR,HS,"Warminster, PA",Warminster,PA,Archbishop Wood,,,,University of Florida,2012-2013
63,Trip Thurman,http://www.gatorzone.com/football/bios.php?year=2012&player_id=305,OL,"6' 6""",323,RFR,SQ,"Dover, DEL",Dover,DEL,Dover,,,,University of Florida,2012-2013
0,Grant Van Aman,http://www.gatorzone.com/football/bios.php?year=2012&player_id=353,P,"6' 2""",196,FR,HS,"Tampa, FL",Tampa,FL,Plant,,,,University of Florida,2012-2013
95,Francisco Velez,http://www.gatorzone.com/football/bios.php?year=2012&player_id=282,K,"5' 9""",173,RSO,SQ,"Ocala, FL",Ocala,FL,Trinity Catholic,,,,University of Florida,2012-2013
40,Justin Vogel,http://www.gatorzone.com/football/bios.php?year=2012&player_id=355,P,"6' 4""",188,FR,HS,"Tampa, FL",Tampa,FL,Berkely Prep,,,,University of Florida,2012-2013
14,Jaylen Watkins,http://www.gatorzone.com/football/bios.php?year=2012&player_id=246,DB,"6' 0""",187,JR,2L,"Cape Coral, FL",Cape Coral,FL,Cape Coral,,,,University of Florida,2012-2013
87,Tevin Westbrook,http://www.gatorzone.com/football/bios.php?year=2012&player_id=303,TE,"6' 5""",265,SO,1L,"Coconut Creek, FL",Coconut Creek,FL,North Broward Prep,,,,University of Florida,2012-2013
98,Quinteze Williams,http://www.gatorzone.com/football/bios.php?year=2012&player_id=356,DL,"6' 5""",276,FR,HS,"Tyrone, GA",Tyrone,GA,Sandy Creek,,,,University of Florida,2012-2013
57,Dakota Wilson,http://www.gatorzone.com/football/bios.php?year=2012&player_id=322,DL,"5' 11""",248,FR,HS,"Palm Beach Gardens, FL",Palm Beach Gardens,FL,William T. Dwyer,,,,University of Florida,2012-2013
66,James Wilson,http://www.gatorzone.com/football/bios.php?year=2012&player_id=149,OL,"6' 4""",323,RSR,2L,"Ponte Vedra, FL",Ponte Vedra,FL,Nease,,,,University of Florida,2012-2013
